Yn Affrick	Africa
28 Mee ny Nollick	December 28
Brasília	Brasília
15 Mean Fouyir	September 15
14 Mean Fouyir	September 14
13 Mean Fouyir	September 13
12 Mean Fouyir	September 12
8 Mean Fouyir	September 8
11 Mean Fouyir	September 11
7 Mean Fouyir	September 7
10 Mean Fouyir	September 10
5 Mean Fouyir	September 5
4 Mean Fouyir	September 4
9 Mean Fouyir	September 9
2 Mean Fouyir	September 2
6 Mean Fouyir	September 6
1 Mean Fouyir	September 1
3 Mean Fouyir	September 3
29 Mee ny Nollick	December 29
30 Mean Fouyir	September 30
29 Mean Fouyir	September 29
28 Mean Fouyir	September 28
27 Mean Fouyir	September 27
26 Mean Fouyir	September 26
25 Mean Fouyir	September 25
Santiago, y Çhillee	Santiago
23 Mean Fouyir	September 23
22 Mean Fouyir	September 22
24 Mean Fouyir	September 24
21 Mean Fouyir	September 21
20 Mean Fouyir	September 20
18 Mean Fouyir	September 18
17 Mean Fouyir	September 17
Pobblaght Hoveidjagh Hoshiallagh ny Belaroosh	Byelorussian Soviet Socialist Republic
19 Mean Fouyir	September 19
16 Mean Fouyir	September 16
30 Mee ny Nollick	December 30
31 Mee ny Nollick	December 31
1 Jerrey Fouyir	October 1
15 Jerrey Fouyir	October 15
12 Jerrey Fouyir	October 12
10 Jerrey Fouyir	October 10
14 Jerrey Fouyir	October 14
9 Jerrey Fouyir	October 9
8 Jerrey Fouyir	October 8
13 Jerrey Fouyir	October 13
7 Jerrey Fouyir	October 7
11 Jerrey Fouyir	October 11
6 Jerrey Fouyir	October 6
4 Jerrey Fouyir	October 4
5 Jerrey Fouyir	October 5
3 Jerrey Fouyir	October 3
2 Jerrey Fouyir	October 2
Asunción	Asunción
31 Jerrey Fouyir	October 31
30 Jerrey Fouyir	October 30
29 Jerrey Fouyir	October 29
28 Jerrey Fouyir	October 28
26 Jerrey Fouyir	October 26
25 Jerrey Fouyir	October 25
24 Jerrey Fouyir	October 24
27 Jerrey Fouyir	October 27
22 Jerrey Fouyir	October 22
23 Jerrey Fouyir	October 23
20 Jerrey Fouyir	October 20
21 Jerrey Fouyir	October 21
19 Jerrey Fouyir	October 19
17 Jerrey Fouyir	October 17
16 Jerrey Fouyir	October 16
18 Jerrey Fouyir	October 18
Darmstadt	Darmstadt
15 Mee Houney	November 15
14 Mee Houney	November 14
13 Mee Houney	November 13
12 Mee Houney	November 12
11 Mee Houney	November 11
10 Mee Houney	November 10
7 Mee Houney	November 7
8 Mee Houney	November 8
9 Mee Houney	November 9
6 Mee Houney	November 6
5 Mee Houney	November 5
4 Mee Houney	November 4
3 Mee Houney	November 3
2 Mee Houney	November 2
1 Mee Houney	November 1
Paramaribo	Paramaribo
30 Mee Houney	November 30
29 Mee Houney	November 29
28 Mee Houney	November 28
27 Mee Houney	November 27
26 Mee Houney	November 26
25 Mee Houney	November 25
23 Mee Houney	November 23
24 Mee Houney	November 24
21 Mee Houney	November 21
20 Mee Houney	November 20
22 Mee Houney	November 22
19 Mee Houney	November 19
18 Mee Houney	November 18
17 Mee Houney	November 17
16 Mee Houney	November 16
Liger-Atlantel	Loire-Atlantique
Sydney	Sydney
Yn Austrail Heear	Western Australia
Bretyn Yiass Noa	New South Wales
Thalloo yn Twoaie	Northern Territory
Thalloo Preeu-valjagh ny h-Austrail	Australian Capital Territory
Caayr ny Panamaa	Panama City
George Orwell	George Orwell
Aodoù-an-Arvor	Côtes-d'Armor
Penn-ar-Bed	Finistère
Hertfordshire	Hertfordshire
Ankara	Ankara
1961	1961
Trie	Foot (unit)
Belgraaid	Belgrade
Ronney:Clowanyn Wikipedia	Category:Wikipedia templates
1960	1960
Ronney:Ronnaghyn clowan Wikipedia	Category:Wikipedia template categories
Quentin Tarantino	Quentin Tarantino
Ronney:Clowanyn spoyrt	Category:Sports templates
Beirut	Beirut
Ronney:Clowanyn oaylleeaght as najoor	Category:Science and nature templates
Ronney:Clowanyn sheshaght as oaylleeaght sheshoil	Category:Society and social science templates
Ronney:Clowanyn çheer	Category:Country templates
Ronney:Clowanyn traa	Category:Time, date and calendar templates
Lefkosia	Nicosia
Roltageagh	Asteroid
Ronney:Clowanyn çheer-oaylleeaght	Category:Geography and place templates
Lusaka	Lusaka
Yn Ghaleesh, y Spaainey	Galicia (Spain)
Antananarivo	Antananarivo
Detmold	Detmold
Wikipedia:Sandbox	Wikipedia:Sandbox
Wikipedia:Roie-raa	Wikipedia:Introduction
Balley	Town
Glioonag	Laptop
Algeerey	Algebra
Kempten	Kempten
Yn Çheer Vascagh (boodeeys hene-reiltagh)	Basque Country (autonomous community)
Awin	River
Osasco	Osasco
Aragón	Aragon
Glaschu	Glasgow
Geayrag hulfuragh	Sulfuric acid
Cruinlagh	Orbit
Purt Aer Dong Hoi	Dong Hoi Airport
Felix Baumgartner	Felix Baumgartner
Ronney:Crubbee	Category:Ungulates
Rollage vuillagh	Pulsar
Curitiba	Curitiba
Ronney:Raaidyn rere çheer	Category:Roads by country
Zichyújfalu	Zichyújfalu
Ronney:Artiodactyla	Category:Even-toed ungulates
Ronney:Amsterdam	Category:Amsterdam
Ronney:Pobblaghtyn Soveidjagh	Category:Republics of the Soviet Union
Ronney:Tooneeshee	Category:Tunisian people
Victorious	Victorious
Jonathan Winters	Jonathan Winters
Ronney:Baljaghtyn ayns Liechtenstein	Category:Municipalities of Liechtenstein
Clowan:Lang-lt	Template:Lang-lt
Ronney:Kishtaghyn fys sleih	Category:People infobox templates
Clowan:Caslys-çheerey soiaghey ny Turkee	Template:Location map Turkey
Corbin Bleu	Corbin Bleu
Ronney:Maddaght	Category:Mathematics
Ronney:Kyiv	Category:Kiev
Aymarish	Aymara language
Ellanyn ny Geyrragh	Faroe Islands
1488	1488
Troarag	Cultivar
Euro	Euro
Yn Veanvooir	Mediterranean Sea
Yn Chreestiaght	Christianity
Boalley Verleen	Berlin Wall
Ushag	Bird
Preeu-valley	Capital city
Monzón	Monzón
Clowan:Lang-tr	Template:Lang-tr
Portiugish	Portuguese language
Mee	Month
1948	1948
Eumetasoa	Eumetazoa
1949	1949
Almazán	Almazán
Huang Xianfan	Huang Xianfan
Toshiaght Arree 2009	February 2009
1956	1956
1200	1200
1941	1941
1945	1945
1958	1958
1926	1926
1947	1947
Hippocrates	Hippocrates
1944	1944
1952	1952
Shapaanish	Japanese language
DVD	DVD
Ard-ghuillag	Main Page
1959	1959
1957	1957
Ruggyr	Rugby football
Yn Oaraishey	Eurasia
Yn Udmurt	Udmurtia
Yn Tatarstaan	Tatarstan
Yn Vooir Chaspagh	Caspian Sea
Traen fo-halloo	Rapid transit
1266	1266
Albrecht Dürer	Albrecht Dürer
Frida Kahlo	Frida Kahlo
Michelangelo	Michelangelo
Peter Paul Rubens	Peter Paul Rubens
Frank Lloyd Wright	Frank Lloyd Wright
1300	1300
1301	1301
1302	1302
1303	1303
1304	1304
1305	1305
Charles Dickens	Charles Dickens
Åland	Åland Islands
Kanta-Häme	Tavastia Proper
Kymenlaakso	Kymenlaakso
Yn Laplann, Finnlynn	Lapland (Finland)
Pirkanmaa	Pirkanmaa
Österbotten (ard)	Ostrobothnia (region)
Pohjanmaa Hwoaie	Northern Ostrobothnia
Yn Chataloan	Catalonia
Päijät-Häme	Päijänne Tavastia
Uusimaa	Uusimaa
Finnlynn Chiart	Southwest Finland
1306	1306
1307	1307
Boodeeys Valencia	Valencian Community
1308	1308
1309	1309
1310	1310
1311	1311
1312	1312
1313	1313
1314	1314
Ny h-Ellanyn Balearagh	Balearic Islands
Murcia (ard)	Region of Murcia
Andalucía	Andalusia
Everton F.C.	Everton F.C.
Novak Đoković	Novak Djokovic
Kabul	Kabul
Fallsoonys	Philosophy
Ronney:Duillagyn er çhionn-scryssey	Category:Candidates for speedy deletion
Hebe Camargo	Hebe Camargo
1400	1400
Arkan sonney	Hedgehog
1366	1366
Lippe	Lippe
Çheer	Country
1380	1380
Calais	Calais
Rheynnyn ny Frank	Departments of France
1538	1538
1540	1540
Ronney:Rollageydys	Category:Astronomy
Irree Magh ny Frank	French Revolution
UTC±00:00	UTC±00:00
Gwened	Vannes
1473	1473
Charon (fo-phlannad)	Charon (moon)
1484	1484
1485	1485
1486	1486
1487	1487
Croitish	Croatian language
UTC+01:00	UTC+01:00
1489	1489
1490	1490
1491	1491
1600	1600
UTC+02:00	UTC+02:00
1584	1584
1608	1608
1711	1711
Unnaneys Rollageydagh Eddyrashoonagh	International Astronomical Union
1800	1800
1801	1801
James Joyce	James Joyce
1802	1802
1803	1803
1809	1809
20oo eash	20th century
1813	1813
21oo eash	21st century
1814	1814
19oo eash	19th century
1817	1817
1820	1820
1822	1822
1735	1735
1825	1825
1826	1826
18oo eash	18th century
17oo eash	17th century
16oo eash	16th century
15oo eash	15th century
Cataloanish	Catalan language
14oo eash	14th century
Ronney:Rollageyn	Category:Stars
13oo eash	13th century
12oo eash	12th century
11oo eash	11th century
Anjeeys	Atheism
Bea-chemmig	Biochemistry
Eggoaylleeaght	Ecology
Politickaght	Politics
Yn Commeeys Arabagh	Arab League
Fliughane-oaylleeaght	Mycology
Reagheydys Chonaant yn Atlantagh Hwoaie	NATO
Reiltys	Government
Qin Shi Huang	Qin Shi Huang
Myn-vioagh-oaylleeaght	Microbiology
Alexander Pushkin	Alexander Pushkin
Ealisaid I Hostyn	Elizabeth I of England
Rang-oardraghey	Taxonomy (general)
Bioag	Organism
Ada Lovelace	Ada Lovelace
Pobblaght	Republic
Johannes Brahms	Johannes Brahms
Antonín Dvořák	Antonín Dvořák
George Frideric Handel	George Frideric Handel
Igor Stravinsky	Igor Stravinsky
Pyotr Ilyich Tchaikovsky	Pyotr Ilyich Tchaikovsky
Giuseppe Verdi	Giuseppe Verdi
Yn Ghermaan Natseeagh	Nazi Germany
Partee Natseeagh	Nazi Party
Jacques Cartier	Jacques Cartier
Ewnyn	Jews
Yuri Gagarin	Yuri Gagarin
Sleih-champ Auschwitz	Auschwitz concentration camp
Oświęcim	Oświęcim
Joseph Haydn	Joseph Haydn
Keayn y Jiass	Southern Ocean
Cleaysh	Ear
Stroin	Nose
Sooill	Eye
Keyrrey	Sheep
Sheeintagh	Mammal
Elefant	Elephant
Ollanish	Dutch language
Margaret Thatcher	Margaret Thatcher
Caayl blaa	Cauliflower
Lus ny h-oohyn	Eggplant
Phobos (fo-phlannad)	Phobos (moon)
Deimos (fo-phlannad)	Deimos (moon)
Sniaghtey	Snow
1829	1829
1831	1831
Arraghey	Transport
1836	1836
1837	1837
1750	1750
1751	1751
1674	1674
1841	1841
1845	1845
1758	1758
1846	1846
1849	1849
1850	1850
1765	1765
1853	1853
1857	1857
1861	1861
1862	1862
1697	1697
1865	1865
1869	1869
Rooshish	Russian language
1870	1870
Leigh	Law
1873	1873
Çhalse X ny Frank	Charles X of France
1789	1789
1877	1877
1790	1790
Arran	Bread
1881	1881
1884	1884
1797	1797
1885	1885
1889	1889
Yn Chrimeea	Crimea
Swahilish	Swahili language
1892	1892
1893	1893
1894	1894
1895	1895
1896	1896
1897	1897
1898	1898
Çhengaghyn Sheenagh	Chinese language
1899	1899
Killag	Cell (biology)
Hochtaunuskreis	Hochtaunuskreis
Romaanish	Romanian language
Bulgeyrish	Bulgarian language
Detmold (ard)	Detmold (region)
Fliaghey	Rain
Malagasish	Malagasy language
Oaylleeaght najooragh	Natural science
Franklin D. Roosevelt	Franklin D. Roosevelt
Dowan-oaylleeaght	Earth science
Winston Churchill	Winston Churchill
Nelson Mandela	Nelson Mandela
10oo eash	10th century
Proteen	Protein
Volcaan	Volcano
Bodjal	Cloud
Sterrym cassee	Tornado
9oo eash	9th century
Towse-oaylleeaght	Geometry
Grammeydys	Grammar
Geay	Wind
Aeraght	Atmosphere
Tarmaynys	Economics
Argid cadjin	Currency
Çhengoaylleeaght	Linguistics
Myn-heean	Phoneme
Corys screeuee	Writing system
Abbyrlhit Arabagh	Arabic alphabet
Hànzì	Chinese characters
Abbyrlhit Kyrillagh	Cyrillic script
Abbyrlhit Greagagh	Greek alphabet
Abbyrlhit Romanagh	Latin script
Ronney:Yn Vulgeyr	Category:Bulgaria
Lettyraght	Literature
Ronney:Yn Rank	Category:France
Ronney:Kiaull	Category:Music
Ronney:Lettyraght	Category:Literature
Noaskeeal	Novel
Ronney:Feeleeaght	Category:Poetry
Ronney:Shennaghys ny Frank	Category:History of France
Manga	Manga
Shynnagh ruy	Red fox
Edjaghys	Education
Hugo Chávez	Hugo Chávez
Euronews	Euronews
Bainney	Milk
Slieau	Mountain
Andrew Johnson	Andrew Johnson
Ewdish	Yiddish language
Miami	Miami
Yn Dragan	Draco (constellation)
Shanghai	Shanghai
Albaanish	Albanian language
Bascish	Basque language
Aragonish	Aragonese language
Armeainish	Armenian language
Alsaasish	Alsatian dialect
Ookraanish	Ukrainian language
Yn Shelgeyr Mooar	Orion (constellation)
Parlamaid ny h-Oarpey	European Parliament
Coonseil ny h-Oarpey	Council of Europe
Yn Cheeaght	Ursa Major
Eaghtyr Tarmaynagh Oarpagh	European Economic Area
Purt Aer Vannin	Isle of Man Airport
Soolynnish	Swedish language
Danvargish	Danish language
Norlynnish	Norwegian language
Sheckish	Czech language
Slovackish	Slovak language
Sloveanish	Slovene language
Ungaarish	Hungarian language
Estoinish	Estonian language
Latvish	Latvian language
Litaanish	Lithuanian language
Belarooshish	Belarusian language
Breneen	Atom
Greagish	Greek language
Feayn-skeealleydaght	Mythology
Yernish	Irish language
Maltish	Maltese language
Craueeaght	Religion
Mandarin	Mandarin Chinese
Sigmund Freud	Sigmund Freud
Thaish	Thai language
Yn Ewaghys	Judaism
Ewnish	Hebrew language
Asserbajaanish	Azerbaijani language
Massadoanish	Macedonian language
Serbish	Serbian language
Bosnish	Bosnian language
Galeeshish	Galician language
Bretnish	Welsh language
Gaelg ny h-Albey	Scottish Gaelic
Adam Smith	Adam Smith
Ludwig Wittgenstein	Ludwig Wittgenstein
Barnet F.C.	Barnet F.C.
Shicklaage	Psychology
Mahommad	Muhammad
Fiorag	Squirrel
Tony Blair	Tony Blair
John Major	John Major
James Callaghan	James Callaghan
Gerald Ford	Gerald Ford
Richard Nixon	Richard Nixon
Çhengey (ronsaghey-kirpey)	Tongue
Nearag	Nerve
Mwannal	Neck
Goolag	Larynx
Lyndon B. Johnson	Lyndon B. Johnson
Olt (ronsaghey-kirpey)	Joint
Mannin	Isle of Man
Ellan Eeaght	Isle of Wight
Ealisaid II y Reeriaght Unnaneysit	Elizabeth II
John F. Kennedy	John F. Kennedy
B	B
Kiaull chlassicagh	Classical music
Guilckagh (lettyr)	G
Unjin (lettyr)	U
Z (lettyr)	Z
Faarney (lettyr)	F
Juys (lettyr)	J
Abbyrlhit	Alphabet
Tramman (lettyr)	T
Couyll	C
Bunscoill	Primary school
Renniagh (lettyr)	R
Darragh (lettyr)	D
Alpha	Alpha
Iuar	I
Eboin	E
Hibbin (lettyr)	H
Dwight D. Eisenhower	Dwight D. Eisenhower
Haarlem	Haarlem
Keirn (lettyr)	K
Lhouan	L
Malpys (lettyr)	M
Neaynin (lettyr)	N
Onnane (lettyr)	O
Pobbyl (lettyr)	P
Quinsh (lettyr)	Q
Shellagh (lettyr)	S
Ronald Reagan	Ronald Reagan
Vervine (lettyr)	V
Wooishlagh (lettyr)	W
X (lettyr)	X
Yiarn (lettyr)	Y
Rafael Nadal	Rafael Nadal
Plasmey (fishig)	Plasma (physics)
Thiollane Vooir Eeaght	Channel Tunnel
Ben Foster (bluckaneyr)	Ben Foster (footballer)
Gordon Brown	Gordon Brown
1100	1100
Ronney:Yn Veneswaaley	Category:Venezuela
Beeal Feirshtey	Belfast
Cayr Deeth	Cardiff
Taabyl reiltagh ny bunstooghyn	Periodic table
Tórshavn	Tórshavn
Reptilia	Reptile
Archaea	Archaea
Bacteria	Bacteria
Billey	Tree
Protista	Protist
Daa-veaghagh	Amphibian
Chordata	Chordate
Caashey	Cheese
Smeyr-feeyney	Grape
Feill	Meat
Praase	Potato
Ard-whaiyl y Reeriaght Unnaneyssit as Nerin Hwoaie	Parliament of the United Kingdom
Çhaghnoaylleeaght	Technology
Jeshaght	Machine
Jeshaghteyrys	Engineering
Çhaghteraght	Communication
Çhellvane	Telephone
Cultoor	Culture
Çhengaghyn yn Unnaneys Oarpagh	Languages of the European Union
Co-vunstoo	Chemical compound
Lheeys	Medicine
Sarajevo	Sarajevo
Quaiyl slattyssagh	Legislature
Windows Vista	Windows Vista
Fidel Castro	Fidel Castro
Ronney:Yn Vrasseel	Category:Brazil
Ronney:Yn Romaan	Category:Romania
Bunstoo	Chemical element
Co-vreneen	Molecule
Bieauaghey	Acceleration
Bree	Energy
Forse	Force
Gamman	Game
Ym-hayrn	Gravity
Glout	Mass
Fillym	Film
Gas	Gas
Ushlagh	Liquid
Stooaltane	Solid
Eirinys	Agriculture
Cadee	Cotton
Eaddeeyn	Clothing
Bieauid	Velocity
Eaghtyr	Area
Oarn	Barley
Harry S. Truman	Harry S. Truman
Peintal	Painting
Jallooderys	Sculpture
Daunse	Dance
Pasheydys	Pottery
Maria Kirilenko	Maria Kirilenko
Çhaghnoaylleeaght-fysseree	Information technology
Maria Sharapova	Maria Sharapova
Chongqing	Chongqing
Tianjin	Tianjin
Wuhan	Wuhan
Rolley çheeraghyn y theihill	List of sovereign states
Yn Eash Chloaie	Stone Age
Yn Çhenn Egypt	Ancient Egypt
John Adams	John Adams
Thomas Jefferson	Thomas Jefferson
James Madison	James Madison
James Monroe	James Monroe
John Quincy Adams	John Quincy Adams
Andrew Jackson	Andrew Jackson
Martin Van Buren	Martin Van Buren
William Henry Harrison	William Henry Harrison
John Tyler	John Tyler
James K. Polk	James K. Polk
Zachary Taylor	Zachary Taylor
Kevin Costner	Kevin Costner
Co-haaghey sollysh	Photosynthesis
Darragh (billey)	Oak
Juys (Pinus)	Pine
1101	1101
Kerrin Tahrir	Tahrir Square
Kahngyr	Cancer
Britaanish	Breton language
Yn Vritaan (ard)	Brittany (administrative region)
Cryss hraa	Time zone
Nicoteen	Nicotine
Gaelg	Manx language
Brattagh ny Britaan	Flag of Brittany
Naoned	Nantes
Brest, y Vritaan	Brest, France
Diwan (scoill)	Diwan (school)
Gorley shymlee	Tuberculosis
Clowan:Caslys-çheerey soiaghey ny Germaan	Module talk:Location map/data/Germany/attribution
Clowan:Caslys-çheerey soiaghey ny h-Eeslynn	Template:Location map Iceland
Clowan:Caslys-çheerey soiaghey Norlynn	Template:Location map Norway
Clowan:Caslys-çheerey soiaghey ny Danvarg	Template:Location map Denmark
Clowan:Caslys-çheerey soiaghey ny Soolynn	Template:Location map Sweden
Clowan:Caslys-çheerey soiaghey Finnlynn	Template:Location map Finland
Clowan:Caslys-çheerey soiaghey ny h-Estaan	Template:Location map Estonia
Clowan:Caslys-çheerey soiaghey ny Latvey	Template:Location map Latvia
Clowan:Caslys-çheerey soiaghey ny Litaan	Template:Location map Lithuania
Stanley, ny Malveenaghyn	Stanley, Falkland Islands
Clowan:Caslys-çheerey soiaghey ny h-Erin	Template:Location map Ireland
Clowan:Caslys-çheerey soiaghey ny Çheerey Injil	Template:Location map Netherlands
Clowan:Caslys-çheerey soiaghey ny Frank	Module talk:Location map/data/France/attribution
Clowan:Caslys-çheerey soiaghey Andorra	Template:Location map Andorra
Clowan:Caslys-çheerey soiaghey ny Spaainey	Template:Location map Spain
Clowan:Caslys-çheerey soiaghey ny Portiugal	Template:Location map Portugal
Clowan:Caslys-çheerey soiaghey ny h-Iddaal	Module talk:Location map/data/Italy/attribution
Clowan:Caslys-çheerey soiaghey ny h-Elveeish	Template:Location map Switzerland
Ard-obbrinys	Architecture
Clowan:Caslys-çheerey soiaghey ny h-Austeyr	Template:Location map Austria
Clowan:Caslys-çheerey soiaghey ny Pobblaght Çheck	Template:Location map Czech Republic
Clowan:Caslys-çheerey soiaghey ny Slovack	Template:Location map Slovakia
Droghad	Bridge
Clowan:Caslys-çheerey soiaghey ny h-Ungaar	Template:Location map Hungary
Clowan:Caslys-çheerey soiaghey ny Serb	Template:Location map Serbia
Clowan:Caslys-çheerey soiaghey Chosovo	Template:Location map Kosovo
Clowan:Caslys-çheerey soiaghey Vontenegro	Template:Location map Montenegro
Clowan:Caslys-çheerey soiaghey Phobblaght ny Massadoan	Template:Location map Republic of Macedonia
Clowan:Caslys-çheerey soiaghey ny h-Albaan	Module talk:Location map/data/Albania/attribution
Clowan:Caslys-çheerey soiaghey ny Greag	Template:Location map Greece
Clowan:Caslys-çheerey soiaghey ny Bulgeyr	Template:Location map Bulgaria
Clowan:Caslys-çheerey soiaghey ny Romaan	Template:Location map Romania
Clowan:Caslys-çheerey soiaghey Voldova	Template:Location map Moldova
Millard Fillmore	Millard Fillmore
Clowan:Caslys-çheerey soiaghey ny h-Ookraan	Template:Location map Ukraine
Franklin Pierce	Franklin Pierce
Clowan:Caslys-çheerey soiaghey ny Shorshey	Template:Location map Georgia
Clowan:Caslys-çheerey soiaghey ny h-Armeain	Template:Location map Armenia
Clowan:Caslys-çheerey soiaghey ny h-Asserbajaan	Template:Location map Azerbaijan
Clowan:Caslys-çheerey soiaghey ny Kassaghstaan	Template:Location map Kazakhstan
Clowan:Caslys-çheerey soiaghey ny Turkmenistaan	Template:Location map Turkmenistan
James Buchanan	James Buchanan
Clowan:Caslys-çheerey soiaghey ny Ceeprey	Template:Location map Cyprus
Clowan:Caslys-çheerey soiaghey ny Livaan	Module talk:Location map/data/Lebanon/attribution
Clowan:Caslys-çheerey soiaghey Israel	Template:Location map Israel
Clowan:Caslys-çheerey soiaghey ny h-Afghanistaan	Module talk:Location map/data/Afghanistan/attribution
Clowan:Caslys-çheerey soiaghey ny h-Injey	Template:Location map India
Clowan:Caslys-çheerey soiaghey ny Vietnam	Template:Location map Vietnam
Clowan:Caslys-çheerey soiaghey ny h-Austrail	Template:Location map Australia
Clowan:Caslys-çheerey soiaghey Phalau	Template:Location map Palau
Clowan:Caslys-çheerey soiaghey ny Soorinam	Template:Location map Suriname
Clowan:Caslys-çheerey soiaghey ny Shillee	Template:Location map Chile
Clowan:Caslys-çheerey soiaghey ny h-Argenteen	Template:Location map Argentina
Clowan:Caslys-çheerey soiaghey ny Paraguay	Template:Location map Paraguay
Clowan:Caslys-çheerey soiaghey ny Brasseel	Template:Location map Brazil
Staydraa	Statistics
Greeish	Stairs
Pyramid	Pyramid
Impiraght Romanagh Vannee	Holy Roman Empire
Il-ha-Gwilen	Ille-et-Vilaine
Ny Loghlynee	Vikings
Lane troar sthie	Gross domestic product
Mor-Bihan	Morbihan
Nord (rheynn ny Frank)	Nord (French department)
Pas-de-Calais	Pas-de-Calais
Aah	Ford (crossing)
Lieh-innys ny h-Ibeir	Iberian Peninsula
Feer earroo	Real number
Smeyr ghoo	Blackberry
Smeyr churree	Cranberry
Cro bainney	Coconut
Peitshag	Peach
Oranje	Orange (fruit)
Leeim	Lime (fruit)
Romansh	Romansh language
Xiangish	Xiang Chinese
Sorbish Eaghtyragh	Upper Sorbian language
Slavish (çhengey Athabaskagh)	Slavey language
Sorbish Eeghtyragh	Lower Sorbian language
Saamish Yiass	Southern Sami language
Nahuatl	Nahuatl
Nama (çhengey)	Khoekhoe language
Navajo (çhengey)	Navajo language
Clowan:Caslys-çheerey soiaghey Ghreenlynn	Template:Location map Greenland
Clowan:Caslys-çheerey soiaghey ny Canadey	Template:Location map Canada
Clowan:Caslys-çheerey soiaghey ny Panamaa	Template:Location map Panama
Tenochtitlan	Tenochtitlan
Coodagh keeagh	Brassiere
Picardie (ard)	Picardy
Arabish	Arabic language
Yn Chorsickey	Corsica
Ocsitaanish	Occitan language
Stroll	Satin
Gamma	Gamma
Ellan y Chaisht	Easter Island
Baarle Albinagh	Scots language
Brattagh	Flag
Lhoob Finnlynn	Gulf of Finland
Boayrd	Table (furniture)
Clowan:Caslys-çheerey soiaghey ny h-Egypt	Template:Location map Egypt
Ethnologue	Ethnologue
Lemgo	Lemgo
Clowan:Caslys-çheerey soiaghey ny Sambia	Template:Location map Zambia
Clowan:Caslys-çheerey soiaghey Vadagascar	Template:Location map Madagascar
Greddaner	Toaster
Coodagh king	Headgear
Dione (fo-phlannad)	Dione (moon)
Tethys	Tethys (moon)
Mwannalagh	Giraffe
Piemontish	Piedmontese language
Arpitaanish	Franco-Provençal language
Guangdong	Guangdong
Guangxi	Guangxi
Unnaneys ny Pobblaghtyn Soveidjagh Soshiallagh	Soviet Union
Poynt lheie	Melting point
Baljaghtyn ny Polynn	Gmina
Platypus	Platypus
Thalloo Baie Jervis	Jervis Bay Territory
Yn Chataloan Hwoaie	Northern Catalonia
90482 Orcus	90482 Orcus
José Manuel Barroso	José Manuel Barroso
Queen	Queen (band)
Freddie Mercury	Freddie Mercury
Zeitz	Zeitz
Braintree, Massachusetts	Braintree, Massachusetts
Wikipedia:Artyn reiht	Wikipedia:Featured articles
Vermont	Vermont
Houston	Houston
Jacksonville, Florida	Jacksonville, Florida
Edgar Allan Poe	Edgar Allan Poe
Yn Ghermaan Hiar	East Germany
Jiangsu	Jiangsu
Zhejiang	Zhejiang
Keeill	Church (building)
Nord-Pas-de-Calais	Nord-Pas-de-Calais
Broioù al Liger	Pays de la Loire
Languedoc-Roussillon	Languedoc-Roussillon
Tibet (ard hene-reiltagh)	Tibet Autonomous Region
Kiarkyl	Circle
Konk-Kerne	Concarneau
Shooylagh	Mobile phone
Corockle affricaid	Affricate consonant
1925	1925
1927	1927
Manchuin	Manchester
Providence, Ellan Rhode	Providence, Rhode Island
Queens	Queens
1000	1000
999	999
Kione Droghad	Onchan
Doolish	Douglas, Isle of Man
1955	1955
1954	1954
1953	1953
1951	1951
1950	1950
1946	1946
1943	1943
1942	1942
1940	1940
1939	1939
Ronney:Aarheynnyn ny h-Afghanistaan	Category:Subdivisions of Afghanistan
