ஆப்பிரிக்கா	Africa
மொண்டேவீடியோ	Montevideo
யோகான் செபாஸ்தியன் பாக்	Johann Sebastian Bach
ஆன்டோனியோ விவால்டி	Antonio Vivaldi
பிட்ஸ்பர்க், பென்சில்வேனியா	Pittsburgh
ஆப்பெரா	Opera
பிலடெல்பியா	Philadelphia
கொல்கத்தா	Kolkata
சென்னை	Chennai
தில்லி	Delhi
டாக்கா	Dhaka
பெங்களூர்	Bangalore
மேற்கு வங்காளம்	West Bengal
சிலந்தி	Spider
சிலந்திதேள் வகுப்பு	Arachnid
கணுக்காலி	Arthropod
ஐதராபாத்து (இந்தியா)	Hyderabad
இஸ்லாமாபாத்	Islamabad
திரிபுரா	Tripura
பழம்	Fruit
குரங்கு	Monkey
பணம்	Money
வர்ஜீனியா	Virginia
மேற்கு வர்ஜீனியா	West Virginia
நியூ யோர்க் மாநிலம்	New York
சீரியம்	Cerium
பிரசியோடைமியம்	Praseodymium
றோட் தீவு	Rhode Island
நியோடைமியம்	Neodymium
பூச்சி	Insect
மேரிலாந்து	Maryland
டெலவெயர்	Delaware
விளாதிமிர் லெனின்	Vladimir Lenin
யூரோப்பியம்	Europium
ஒகையோ	Ohio
வேர்ஜில்	Virgil
நிக்கோலோ மாக்கியவெல்லி	Niccolò Machiavelli
பென்சில்வேனியா	Pennsylvania
யூட்டர்சென்	Uetersen
அகஸ்ட்டஸ்	Augustus
மைக்ரோசாப்ட் விண்டோசு	Microsoft Windows
நியூ செர்சி	New Jersey
ஜிப்ரால்ட்டர்	Gibraltar
குளோடியசு	Claudius
பின்னிய மொழி	Finnish language
நீரோ	Nero
இந்தியானா	Indiana
நோக்கியா	Nokia
தானுந்து	Car
யுவென்டசு கால்பந்துக் கழகம்	Juventus F.C.
திராயான்	Trajan
ரொஜர் பெடரர்	Roger Federer
ஜோர்ஜியா (மாநிலம்)	Georgia (U.S. state)
கே டீ ஈ	KDE
சாகிரேப்	Zagreb
இராச்சசுத்தான்	Rajasthan
டெக்சஸ்	Texas
தமிழ்நாடு	Tamil Nadu
செனோவா	Genoa
பசிளிகாதா	Basilicata
வட கரொலைனா	North Carolina
தென் கரொலைனா	South Carolina
கலபிரியா	Calabria
சிசிலி	Sicily
மணிலா	Manila
சார்தீனியா	Sardinia
பேர்டினண்ட் மார்க்கோஸ்	Ferdinand Marcos
பெனிக்னோ அக்கீனோ III	Benigno Aquino III
செபு நகரம்	Cebu City
லுவார் ஆறு	Loire
செய்ன் ஆறு	Seine
குரோன் நோய்	Crohn's disease
டவாவோ நகரம்	Davao City
குவிசோன் நகரம்	Quezon City
கலூக்கன்	Caloocan
பொர்தோ	Bordeaux
கொரசோன் அக்கினோ	Corazon Aquino
மண்டலிய செம்முருடு	Systemic lupus erythematosus
புவெனஸ் ஐரிஸ்	Buenos Aires
மெக்சிக்கோ நகரம்	Mexico City
தோக்கியோ	Tokyo
லா பாஸ்	La Paz
பார்செலோனா	Barcelona
அன்னாசி	Pineapple
மிசிசிப்பி	Mississippi
பெர்டினென்ட் மகலன்	Ferdinand Magellan
மிசிசிப்பி ஆறு	Mississippi River
உத்தரப் பிரதேசம்	Uttar Pradesh
உத்தராகண்டம்	Uttarakhand
ஒசே ரிசால்	José Rizal
நீச்சற் குளம்	Swimming pool
மிசோரம்	Mizoram
மானுவல் எல். குவிசோன்	Manuel L. Quezon
சிக்கிம்	Sikkim
டென்னிசி	Tennessee
ரிச்சார்ட் வாக்னர்	Richard Wagner
ஆர். எல். இசுட்டீவன்சன்	Robert Louis Stevenson
நாக்பூர்	Nagpur
அபுதாபி (நகரம்)	Abu Dhabi
அஸ்தானா	Astana
நியூ மெக்சிகோ	New Mexico
இரண்டாம் ராமேசஸ்	Ramesses II
ஏதென்ஸ்	Athens
சுற்றுச்சந்தி	Roundabout
மினசோட்டா	Minnesota
பக்தாத்	Baghdad
கரகஸ்	Caracas
ஒருங்கிணைந்த அனைத்துலக நேரம்	Coordinated Universal Time
விஸ்கொன்சின்	Wisconsin
புனே	Pune
அயோவா	Iowa
நெப்ராஸ்கா	Nebraska
குவாத்தமாலா நகரம்	Guatemala City
கேன்சஸ்	Kansas
அவானா	Havana
புகையிலை	Tobacco
இந்தி	Hindi
மராத்தி	Marathi language
அவாஸ்ட்!	Avast!
இண்டர்நெட் எக்சுபுளோரர்	Internet Explorer
பிள்ளையார்	Ganesha
மிசூரி	Missouri
ஜார்ஜ் ஓம்	Georg Ohm
லூசியானா	Louisiana
நாகாலாந்து	Nagaland
கென்டக்கி	Kentucky
ஆர்கன்சா	Arkansas
நீல் ஆம்ஸ்ட்றோங்	Neil Armstrong
உருது	Urdu
எடித் பியாஃப்	Édith Piaf
எல்பா ஆறு	Elbe
ஓக்லகோமா	Oklahoma
தன்யூப் ஆறு	Danube
மோசெல் ஆறு	Moselle
நெக்கர் ஆறு	Neckar
புடுவன்	Butuan
வடகடல்	North Sea
தியூசல்டோர்ஃபு	Düsseldorf
மியூனிக்	Munich
கைப்பந்தாட்டம்	Volleyball
வியன்னா	Vienna
மடோனா (பொழுதுபோக்கு கலைஞர்)	Madonna (entertainer)
கோபனாவன்	Copenhagen
கலினின்கிராட் ஒப்லாஸ்து	Kaliningrad Oblast
ஸ்டாக்ஹோம்	Stockholm
எல்சிங்கி	Helsinki
டப்லின்	Dublin
ரெய்க்யவிக்	Reykjavík
தாலின்	Tallinn
ரீகா	Riga
சன்சிபார்	Zanzibar
லூயிசு ஆம்சுட்ராங்	Louis Armstrong
பிராத்திஸ்லாவா	Bratislava
புடாபெஸ்ட்	Budapest
கதான்ஸ்க்	Gdańsk
பிராங்க்ஃபுர்ட்	Frankfurt
விராத்ஸ்சாஃப்	Wrocław
கொச்சி	Kochi
இலந்தனம்	Lanthanum
புரோமித்தியம்	Promethium
வானியல் அலகு	Astronomical unit
சமாரியம்	Samarium
பாகியோ	Baguio
கடோலினியம்	Gadolinium
ஜீனடின் ஜிதேன்	Zinedine Zidane
டெர்பியம்	Terbium
கத்தோலிக்கம்	Catholicism
லக்சம்பர்க் (நகரம்)	Luxembourg (city)
டிசிப்ரோசியம்	Dysprosium
விவிலியம்	Bible
ஓல்மியம்	Holmium
எர்பியம்	Erbium
புனோம் பென்	Phnom Penh
தூலியம்	Thulium
ஹோ சி மின் நகரம்	Ho Chi Minh City
இட்டெர்பியம்	Ytterbium
லியுதேத்தியம்	Lutetium
ஹனோய்	Hanoi
உண்மையான இயேசு தேவாலயம்	True Jesus Church
ஆங்கிலம்	English language
பேங்காக்	Bangkok
அந்தோரா லா வேலா	Andorra la Vella
கோலாலம்பூர்	Kuala Lumpur
தாய்பெய்	Taipei
அமெரிசியம்	Americium
ஆர்க்காங்கெல்சிக் ஓபலாசுத்து	Arkhangelsk Oblast
கியூரியம்	Curium
கன்செப்சியான்	Concepción, Chile
பெர்க்கிலியம்	Berkelium
கலிபோர்னியம்	Californium
பண்ணுறவாண்மை	Diplomacy
ஐன்ஸ்டைனியம்	Einsteinium
பெர்மியம்	Fermium
கலியாரி	Cagliari
மெண்டலீவியம்	Mendelevium
கீவ்	Kiev
நொபிலியம்	Nobelium
ஒன்ராறியோ	Ontario
இலாரென்சியம்	Lawrencium
கரீம் பென்சிமா	Karim Benzema
கரேலியா	Republic of Karelia
ஒட்டாவா	Ottawa
விண்வெளிப் போட்டி	Space Race
வெள்ளியின் வளிமண்டலம்	Atmosphere of Venus
வியாழனின் நிலாக்கள்	Moons of Jupiter
மானிட்டோபா	Manitoba
ஆல்பர்ட்டா	Alberta
நோவா ஸ்கோசியா	Nova Scotia
யெரெவான்	Yerevan
கோன்ஸ்கோவோலா	Końskowola
தாருஸ்ஸலாம்	Dar es Salaam
கர்த்தூம்	Khartoum
நியூ பிரன்சுவிக்	New Brunswick
பார்முலா 1	Formula One
சனியின் நிலவுகள்	Moons of Saturn
பிரிட்டிசு கொலம்பியா	British Columbia
இளவரசர் எட்வர்ட் தீவு	Prince Edward Island
2000	2000
2003	2003
2002	2002
2001	2001
சஸ்காச்சுவான்	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
காபனீரொக்சைட்டு	Carbon dioxide
2013	2013
2014	2014
2015	2015
நியூஃபவுன்லாந்து மற்றும் லாப்ரடோர்	Newfoundland and Labrador
2008	2008
யாவாக்கிறிட்டு	JavaScript
வடமேற்கு நிலப்பகுதிகள்	Northwest Territories
யூக்கான்	Yukon
2004	2004
2005	2005
2006	2006
நுனாவுட்	Nunavut
2007	2007
கார்பனோரொக்சைட்டு	Carbon monoxide
இக்காலுயிட்	Iqaluit
1900	1900
