ਅਫ਼ਰੀਕਾ	Africa
ਨਿਓਬੀਅਮ	Niobium
ਜਵਾਹਰ ਲਾਲ ਨਹਿਰੂ	Jawaharlal Nehru
ਜੂਲੀਅਸ ਸੀਜ਼ਰ	Julius Caesar
ਸੁਡਾਨ	Sudan
ਸਵਾਜ਼ੀਲੈਂਡ	Swaziland
ਸਤਰੰਗੀ ਪੀਂਘ	Rainbow
ਮੋਲਿਬਡੇਨਮ	Molybdenum
ਟੈਕਨੀਸ਼ੀਅਮ	Technetium
ਹਾਮਬੁਰਕ	Hamburg
ਨਰਿੰਦਰ ਮੋਦੀ	Narendra Modi
ਇਮਿਊਨ ਸਿਸਟਮ	Immune system
ਗੁਜਰਾਤ	Gujarat
ਓਂਟਾਰੀਓ ਝੀਲ	Lake Ontario
ਵਿਕਾਸਵਾਦ	Evolution
ਸੰਯੁਕਤ ਰਾਸ਼ਟਰ	United Nations
ਸੁਪੀਰੀਅਰ ਝੀਲ	Lake Superior
ਦਾਂਤੇ ਆਲੀਗੀਏਰੀ	Dante Alighieri
ਭੂਗਰਭ ਵਿਗਿਆਨ	Geology
ਅਹਿਮਦਾਬਾਦ	Ahmedabad
ਭੂਗੋਲ	Geography
ਦਿਲ	Heart
ਦਿਮਾਗ਼	Brain
ਰੰਗ	Color
ਬਰੇਕਿੰਗ ਬੈਡ	Breaking Bad
ਨਾਂਵ	Noun
ਪ੍ਰਾਗ	Prague
ਰ੍ਹੋਡੀਅਮ	Rhodium
ਨੀਲਾ	Blue
ਪੈਲੇਡੀਅਮ	Palladium
ਚਾਂਦੀ	Silver
ਕੈਡਮੀਅਮ	Cadmium
ਇੰਡੀਅਮ	Indium
ਟੀਨ	Tin
ਯੂਰੇਨੀਅਮ	Uranium
ਐਂਟੀਮਨੀ	Antimony
ਟੈਲੂਰੀਅਮ	Tellurium
ਪਲੂਟੋਨੀਅਮ	Plutonium
ਆਇਓਡੀਨ	Iodine
ਜ਼ੀਨਾਨ	Xenon
﻿ਐਨੀਮੇ	Anime
ਸੀਜ਼ੀਅਮ	Caesium
ਬਿਜਲਈ ਚਾਰਜ	Electric charge
ਬੇਰੀਅਮ	Barium
ਹਾਫ਼ਨੀਅਮ	Hafnium
ਟੈਂਟਲਮ	Tantalum
ਰੇਡੀਅਮ	Radium
ਰੇਡਾਨ	Radon
ਲੋਰੈਨ	Lorraine (region)
ਅਲਸਾਸ	Alsace
ਇੰਦਰਾ ਗਾਂਧੀ	Indira Gandhi
ਮਰਕਰੀ	Mercury (mythology)
ਓਵੈਰਨੀ	Auvergne (region)
ਮੁੰਬਈ	Mumbai
ਅੰਤਰਰਾਸ਼ਟਰੀ ਅਥਲੈਟਿਕਸ ਸੰਘ ਪ੍ਰੀਸ਼ਦ	International Association of Athletics Federations
ਆਂਧਰਾ ਪ੍ਰਦੇਸ਼	Andhra Pradesh
ਅਰੁਨਾਚਲ ਪ੍ਰਦੇਸ਼	Arunachal Pradesh
ਅਸਾਮ	Assam
ਬਿਹਾਰ	Bihar
ਮਿਸ਼ੀਗਨ	Michigan
ਛੱਤੀਸਗੜ੍ਹ	Chhattisgarh
ਮਿਸ਼ੀਗਨ ਝੀਲ	Lake Michigan
ਗੋਆ	Goa
ਬਰਗੰਡੀ	Burgundy
ਹਰਿਆਣਾ	Haryana
ਹਿਮਾਚਲ ਪ੍ਰਦੇਸ਼	Himachal Pradesh
ਆਕੀਤੈਨ	Aquitaine
ਜੰਮੂ ਅਤੇ ਕਸ਼ਮੀਰ	Jammu and Kashmir
ਪੁਇਰਤੋ ਰੀਕੋ	Puerto Rico
ਝਾਰਖੰਡ	Jharkhand
ਕਰਨਾਟਕ	Karnataka
ਕੇਰਲਾ	Kerala
ਮੱਧ ਪ੍ਰਦੇਸ਼	Madhya Pradesh
ਉਸੈਨ ਬੋਲਟ	Usain Bolt
ਲਿਮੂਜ਼ੈਂ	Limousin
ਮਹਾਂਰਾਸ਼ਟਰ	Maharashtra
ਮਨੀਪੁਰ	Manipur
ਮੇਘਾਲਿਆ	Meghalaya
ਉੱਤਰੀ ਰਾਈਨ-ਪੱਛਮੀ ਫ਼ਾਲਨ	North Rhine-Westphalia
ਹੈੱਸਨ	Hesse
ਜ਼ਾਰਲਾਂਡ	Saarland
ਜ਼ਾਕਸਨ	Saxony
ਜਾਨ ਲੈਨਨ	John Lennon
ਇਲੀਨਾਏ	Illinois
ਉੱਤਰੀ ਡਕੋਟਾ	North Dakota
ਬ੍ਰਾਂਡਨਬੁਰਕ	Brandenburg
ਬਰੇਮਨ (ਰਾਜ)	Bremen (state)
ਲੋਂਬਾਰਦੀਆ	Lombardy
ਦੱਖਣੀ ਡਕੋਟਾ	South Dakota
ਮੋਂਟਾਨਾ	Montana
ਵਾਇਓਮਿੰਗ	Wyoming
ਪੀਏਮੋਂਤੇ	Piedmont
ਜੇਰੂਸਲਮ	Jerusalem
ਆਇਡਾਹੋ	Idaho
ਆਓਸਤਾ ਘਾਟੀ	Aosta Valley
ਵਾਸ਼ਿੰਗਟਨ (ਰਾਜ)	Washington (state)
ਰੂਥੇਨੀਅਮ	Rutherfordium
ਨਵਾਡਾ	Nevada
ਡਾਨ (ਦਰਿਆ)	Don River (Russia)
ਹਿੰਦ ਮਹਾਂਸਾਗਰ	Indian Ocean
ਵੈਨੇਤੋ	Veneto
ਕੋਸੋਵੋ ਗਣਰਾਜ	Kosovo
ਕਰੀਬੀਆਈ ਸਮੁੰਦਰ	Caribbean Sea
ਕੋਫ਼ੀ ਅੰਨਾਨ	Kofi Annan
ਲਿਗੂਰੀਆ	Liguria
ਕੋਲੋਰਾਡੋ	Colorado
ਏਮੀਲੀਆ-ਰੋਮਾਞਾ	Emilia-Romagna
ਕੋਲੋਰਾਡੋ ਦਰਿਆ	Colorado River
ਫਰਾਦਾਰੀਕ ਸ਼ੋਪੁਹ	Frédéric Chopin
ਤੋਸਕਾਨਾ	Tuscany
ਮਾਰਕੇ	Marche
ਅੰਬਰੀਆ	Umbria
ਲਾਤਸੀਓ	Lazio
ਆਬਰੂਤਸੋ	Abruzzo
ਐਪਨਾਈਨ ਪਹਾੜ	Apennine Mountains
ਐਲਪ	Alps
ਕਾਰਪਾਤੀ ਪਹਾੜ	Carpathian Mountains
ਬਲੇਸ ਪਾਸਕਾਲ	Blaise Pascal
ਸ਼ਿਕਾਗੋ	Chicago
ਦ ਬੀਟਲਜ਼	The Beatles
ਸਿਆਲ	Winter
ਸਦਾਮ ਹੁਸੈਨ	Saddam Hussein
ਸਪੇਨੀ ਭਾਸ਼ਾ	Spanish language
ਮੋਂਤੇਵੀਦਿਓ	Montevideo
ਯੋਹਾਨ ਸੇਬਾਸਤੀਅਨ ਬਾਖ਼	Johann Sebastian Bach
ਪਿਟਸਬਰਗ	Pittsburgh
ਓਪੇਰਾ	Opera
ਫ਼ਿਲਾਡੈਲਫ਼ੀਆ	Philadelphia
ਕੋਲਕਾਤਾ	Kolkata
ਚੇਨਈ	Chennai
ਦਿੱਲੀ	Delhi
ਢਾਕਾ	Dhaka
ਬੰਗਲੌਰ	Bangalore
ਪੱਛਮੀ ਬੰਗਾਲ	West Bengal
ਮੱਕੜੀ	Spider
ਆਰਥਰੋਪੋਡ	Arthropod
ਹੈਦਰਾਬਾਦ, ਭਾਰਤ	Hyderabad
ਇਸਲਾਮਾਬਾਦ	Islamabad
ਤ੍ਰਿਪੁਰਾ	Tripura
ਫਲ	Fruit
ਮੁਦਰਾ	Money
ਵਰਜਿਨੀਆ	Virginia
ਪੱਛਮੀ ਵਰਜਿਨੀਆ	West Virginia
ਹਿਊਰਾਨ ਝੀਲ	Lake Huron
ਨਿਊ ਯਾਰਕ	New York
ਰੋਡ ਟਾਪੂ	Rhode Island
ਮੈਰੀਲੈਂਡ	Maryland
ਡੇਲਾਵੇਅਰ	Delaware
ਵਲਾਦੀਮੀਰ ਲੈਨਿਨ	Vladimir Lenin
ਯੂਰਪੀਅਮ	Europium
ਓਹਾਇਓ	Ohio
ਵਰਜਿਲ	Virgil
ਨਿਕੋਲੋ ਮੈਕਿਆਵੇਲੀ	Niccolò Machiavelli
ਪੈੱਨਸਿਲਵੇਨੀਆ	Pennsylvania
ਜਿਓਵਾਨੀ ਬੋਕਾਸੀਓ	Giovanni Boccaccio
ਲੁਈਗੀ ਪਿਰਾਂਦੋਲੋ	Luigi Pirandello
ਆਗਸਟਸ ਕੈਸਰ	Augustus
ਨਿਊ ਜਰਸੀ	New Jersey
ਜਿਬਰਾਲਟਰ	Gibraltar
ਫ਼ਿਨੀ ਭਾਸ਼ਾ	Finnish language
ਇੰਡੀਆਨਾ	Indiana
ਨੋਕੀਆ	Nokia
ਕਾਰ	Car
ਜੁਵੇਂਟਸ ਫੁੱਟਬਾਲ ਕਲੱਬ	Juventus F.C.
ਤਰਾਜਾਨ	Trajan
ਰਾਜਰ ਫੈਡਰਰ	Roger Federer
ਜਾਰਜੀਆ (ਅਮਰੀਕੀ ਰਾਜ)	Georgia (U.S. state)
ਜ਼ਾਗਰਬ	Zagreb
ਰਾਜਸਥਾਨ	Rajasthan
ਕਾਂਪਾਨੀਆ	Campania
ਟੈਕਸਸ	Texas
ਤਾਮਿਲ ਨਾਡੂ	Tamil Nadu
ਪੂਲੀਆ	Apulia
ਬਾਜ਼ਿਲੀਕਾਤਾ	Basilicata
ਉੱਤਰੀ ਕੈਰੋਲੀਨਾ	North Carolina
ਦੱਖਣੀ ਕੈਰੋਲੀਨਾ	South Carolina
ਯੂ. ਸੀ. ਸੰਪਦੋਰੀਆ	U.C. Sampdoria
ਕਾਲਾਬਰੀਆ	Calabria
ਸਿਚੀਲੀਆ	Sicily
ਮਨੀਲਾ	Manila
ਸਾਰਦੇਞਾ	Sardinia
ਲੁਆਰ ਦਰਿਆ	Loire
ਸੈਨ ਦਰਿਆ	Seine
ਬੋਰਦੋ	Bordeaux
ਬੁਏਨਸ ਆਇਰਸ	Buenos Aires
ਮੈਕਸੀਕੋ ਸ਼ਹਿਰ	Mexico City
ਟੋਕੀਓ	Tokyo
ਲਾ ਪਾਸ	La Paz
ਬਾਰਸੀਲੋਨਾ	Barcelona
ਮਿਸੀਸਿੱਪੀ	Mississippi
ਮਿੱਸੀਸਿੱਪੀ ਦਰਿਆ	Mississippi River
ਉੱਤਰ ਪ੍ਰਦੇਸ਼	Uttar Pradesh
ਉੱਤਰਾਖੰਡ	Uttarakhand
ਮਿਜ਼ੋਰਮ	Mizoram
ਸਿੱਕਮ	Sikkim
ਟੈਨੇਸੀ	Tennessee
ਰਾਬਰਟ ਲੂਈ ਸਟੀਵਨਸਨ	Robert Louis Stevenson
ਨਾਗਪੁਰ	Nagpur
ਅਬੀਜਾਨ	Abidjan
ਅਬੂ ਧਾਬੀ	Abu Dhabi
ਅਸਤਾਨਾ	Astana
ਨਿਊ ਮੈਕਸੀਕੋ	New Mexico
ਐਥਨਜ਼	Athens
ਮਿਨੇਸੋਟਾ	Minnesota
ਬਗ਼ਦਾਦ	Baghdad
ਕਾਰਾਕਾਸ	Caracas
ਵਿਸਕਾਂਸਨ	Wisconsin
ਪੁਣੇ	Pune
ਏ.ਸੀ. ਮਿਲਣ	A.C. Milan
ਆਇਓਵਾ	Iowa
ਨਬਰਾਸਕਾ	Nebraska
ਗੁਆਤੇਮਾਲਾ ਸ਼ਹਿਰ	Guatemala City
ਕਾਂਸਸ	Kansas
ਹਵਾਨਾ	Havana
ਤਮਾਕੂ	Tobacco
ਹਿੰਦੀ ਭਾਸ਼ਾ	Hindi
ਮਰਾਠੀ ਭਾਸ਼ਾ	Marathi language
ਗਣੇਸ਼	Ganesha
ਮਿਜ਼ੂਰੀ	Missouri
ਲੂਈਜ਼ੀਆਨਾ	Louisiana
ਲੂਗੀ ਗੇਲਵੈਨੀ	Luigi Galvani
ਨਾਗਾਲੈਂਡ	Nagaland
ਕਿੰਟਕੀ	Kentucky
ਆਰਕੰਸਾ	Arkansas
ਨੀਲ ਆਰਮਸਟਰਾਂਗ	Neil Armstrong
ਉਰਦੂ ਭਾਸ਼ਾ	Urdu
ਏਦੀਥ ਪੀਆਫ	Édith Piaf
ਓਕਲਾਹੋਮਾ	Oklahoma
ਦਨੂਬ ਦਰਿਆ	Danube
ਰੂਆ ਦਰਿਆ	Ruhr (river)
ਉੱਤਰੀ ਸਮੁੰਦਰ	North Sea
ਹੈਨੋਫ਼ਾ	Hanover
ਮਿਊਨਿਖ	Munich
ਵਾਲੀਬਾਲ	Volleyball
ਵਿਆਨਾ	Vienna
ਕੋਪਨਹੈਗਨ	Copenhagen
ਸਟਾਕਹੋਮ	Stockholm
ਹੈਲਸਿੰਕੀ	Helsinki
ਡਬਲਿਨ	Dublin
ਰੇਕੀਆਵਿਕ	Reykjavík
ਤਾਲਿਨ	Tallinn
ਰੀਗਾ	Riga
ਲੁਈਸ ਆਰਮਸਟਰਾਂਗ	Louis Armstrong
ਬ੍ਰਾਤਿਸਲਾਵਾ	Bratislava
ਬੁਦਾਪੈਸਤ	Budapest
ਫ਼ਰਾਂਕਫ਼ੁਰਟ	Frankfurt
ਲਕਸਮਬਰਗ (ਸ਼ਹਿਰ)	Luxembourg (city)
ਫ਼ਾਦੁਤਸ	Vaduz
ਬਾਈਬਲ	Bible
ਪਨਾਮ ਪੈਨ	Phnom Penh
ਹੋ ਚੀ ਮਿਨ ਸ਼ਹਿਰ	Ho Chi Minh City
ਇਟਰੀਅਮ	Ytterbium
ਲੁਟੀਸ਼ੀਅਮ	Lutetium
ਹਨੋਈ	Hanoi
ਟਰੂ ਜੀਸਸ ਚਰਚ	True Jesus Church
ਅੰਗਰੇਜ਼ੀ ਭਾਸ਼ਾ	English language
ਬੈਂਕਾਕ	Bangkok
ਅੰਡੋਰਾ ਲਾ ਵੇਲਾ	Andorra la Vella
ਕੁਆਲਾ ਲੁੰਪੁਰ	Kuala Lumpur
ਤਾਈਪੇ	Taipei
ਕਾਂਸੇਪਸਿਉਂ	Concepción, Chile
ਬਰਕੀਲੀਅਮ	Berkelium
ਕੀਵ	Kiev
ਓਂਟਾਰੀਓ	Ontario
ਓਲਿਵਰ ਗਿਰੌਦ	Olivier Giroud
ਓਟਾਵਾ	Ottawa
ਜੂਬਾ	Juba
ਮਾਨੀਟੋਬਾ	Manitoba
ਐਲਬਰਟਾ	Alberta
ਨੋਵਾ ਸਕੋਸ਼ਾ	Nova Scotia
ਯੇਰਵਾਨ	Yerevan
ਕਞ੍ਸ੍ਕਵਲਾ	Końskowola
ਦਾਰ ਅਸ ਸਲਾਮ	Dar es Salaam
ਖ਼ਰਤੂਮ	Khartoum
ਨਿਊ ਬਰੰਸਵਿਕ	New Brunswick
ਫ਼ਾਰਮੂਲਾ ਵਨ	Formula One
ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆ	British Columbia
ਪ੍ਰਿੰਸ ਐਡਵਰਡ ਟਾਪੂ	Prince Edward Island
ਜੈਰਲੌਂ ਸਟੇਡੀਅਮ	Stade de Gerland
2000	2000
2003	2003
੨੦੦੨	2002
2001	2001
ਸਸਕਾਚਵਾਨ	Saskatchewan
੨੦੧੨	2012
੨੦੧੧	2011
੨੦੧੦	2010
੨੦੦੯	2009
ਕਾਰਬਨ ਡਾਈਆਕਸਾਈਡ	Carbon dioxide
੨੦੧੫	2015
ਨਿਊਫ਼ੰਡਲੈਂਡ ਅਤੇ ਲਾਬਰਾਡੋਰ	Newfoundland and Labrador
੨੦੦੮	2008
ਉੱਤਰ-ਪੱਛਮੀ ਰਾਜਖੇਤਰ	Northwest Territories
ਯੂਕੋਨ	Yukon
੨੦੦੪	2004
੨੦੦੫	2005
੨੦੦੬	2006
ਨੂਨਾਵੁਤ	Nunavut
੨੦੦੭	2007
੧੯੦੦	1900
੧੯੦੧	1901
੧੯੦੨	1902
੧੯੦੩	1903
੧੯੦੪	1904
1905	1905
1907	1907
੧੯੦੬	1906
ਏਸੀਐਫ ਫਿਓਰੇਂਟੀਨਾ	ACF Fiorentina
1908	1908
੧੯੦੯	1909
1992	1992
੧੯੯੧	1991
1990	1990
੧੯੯੩	1993
ਐੱਸਨ	Essen
1994	1994
੧੯੯੫	1995
1996	1996
ਜੇਨੋਵਾ ਸੀ. ਐੱਫ਼. ਸੀ.	Genoa C.F.C.
1910	1910
1911	1911
1912	1912
ਲਾਈਪਸਿਸ਼	Leipzig
੧੯੧੩	1913
੧੯੧੪	1914
1915	1915
੧੯੧੬	1916
੧੯੯੭	1997
1998	1998
੧੯੯੯	1999
1917	1917
੧੯੧੮	1918
ਭੋਜਨ	Food
ਐਡਮੰਟਨ	Edmonton
ਸੱਪ	Snake
ਰਿਜਾਇਨਾ	Regina, Saskatchewan
ਸ਼ਾਰਲਟਟਾਊਨ	Charlottetown
ਵਿਕਟੋਰੀਆ, ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆ	Victoria, British Columbia
ਵਿਨੀਪੈਗ	Winnipeg
ਹੈਲੀਫ਼ੈਕਸ, ਨੋਵਾ ਸਕੋਸ਼ਾ	Halifax, Nova Scotia
ਕੇਬੈਕ ਸ਼ਹਿਰ	Quebec City
੧ ਜਨਵਰੀ	January 1
੨ ਜਨਵਰੀ	January 2
ਸੁਭਾਸ਼ ਚੰਦਰ ਬੋਸ	Subhas Chandra Bose
੧੯੨੦	1920
3 ਜਨਵਰੀ	January 3
1919	1919
੧੯੨੧	1921
1922	1922
੪ ਜਨਵਰੀ	January 4
1923	1923
1924	1924
ਲੈਨਿਨਗ੍ਰਾਦ ਓਬਲਾਸਤ	Leningrad Oblast
5 ਜਨਵਰੀ	January 5
ਆਰੀਕਾ	Arica
੬ ਜਨਵਰੀ	January 6
ਬਿਜਲਾਣੂ	Electron
7 ਜਨਵਰੀ	January 7
੮ ਜਨਵਰੀ	January 8
੯ ਜਨਵਰੀ	January 9
੧੦ ਜਨਵਰੀ	January 10
੧੧ ਜਨਵਰੀ	January 11
12 ਜਨਵਰੀ	January 12
੧੩ ਜਨਵਰੀ	January 13
ਬਰਮਿੰਘਮ	Birmingham
੧੪ ਜਨਵਰੀ	January 14
15 ਜਨਵਰੀ	January 15
16 ਜਨਵਰੀ	January 16
17 ਜਨਵਰੀ	January 17
18 ਜਨਵਰੀ	January 18
੧੯ ਜਨਵਰੀ	January 19
੨੦ ਜਨਵਰੀ	January 20
ਸਨਅਤੀ ਇਨਕਲਾਬ	Industrial Revolution
ਬੈਨਜ਼ੀਨ	Benzene
21 ਜਨਵਰੀ	January 21
੨੨ ਜਨਵਰੀ	January 22
੨੩ ਜਨਵਰੀ	January 23
ਰੋਮਨ ਸਮਰਾਜ	Roman Empire
੨੪ ਜਨਵਰੀ	January 24
25 ਜਨਵਰੀ	January 25
ਮਿੰਸਕ	Minsk
26 ਜਨਵਰੀ	January 26
੨੭ ਜਨਵਰੀ	January 27
੨੮ ਜਨਵਰੀ	January 28
੨੯ ਜਨਵਰੀ	January 29
੩੦ ਜਨਵਰੀ	January 30
੩੧ ਜਨਵਰੀ	January 31
ਪ੍ਰੋਟਾਨ	Proton
2 ਦਸੰਬਰ	December 2
੧ ਦਸੰਬਰ	December 1
੩ ਦਸੰਬਰ	December 3
੭ ਦਸੰਬਰ	December 7
5 ਦਸੰਬਰ	December 5
8 ਦਸੰਬਰ	December 8
੧੦ ਦਸੰਬਰ	December 10
6 ਦਸੰਬਰ	December 6
੯ ਦਸੰਬਰ	December 9
੪ ਦਸੰਬਰ	December 4
੧ ਫ਼ਰਵਰੀ	February 1
੨ ਫ਼ਰਵਰੀ	February 2
੩ ਫ਼ਰਵਰੀ	February 3
ਕੂਰੋਫ	Kurów
੪ ਫ਼ਰਵਰੀ	February 4
੫ ਫ਼ਰਵਰੀ	February 5
6 ਫ਼ਰਵਰੀ	February 6
7 ਫ਼ਰਵਰੀ	February 7
8 ਫ਼ਰਵਰੀ	February 8
੯ ਫ਼ਰਵਰੀ	February 9
੧੦ ਫ਼ਰਵਰੀ	February 10
ਰਸਾਇਣ ਵਿਗਿਆਨ	Chemistry
14 ਫ਼ਰਵਰੀ	February 14
13 ਫ਼ਰਵਰੀ	February 13
੧੫ ਫ਼ਰਵਰੀ	February 15
11 ਫ਼ਰਵਰੀ	February 11
12 ਫ਼ਰਵਰੀ	February 12
ਰੋਬਿਨ ਵੈਨ ਪਰਸੀ	Robin van Persie
੧੯ ਫ਼ਰਵਰੀ	February 19
੧੭ ਫ਼ਰਵਰੀ	February 17
੧੬ ਫ਼ਰਵਰੀ	February 16
18 ਫ਼ਰਵਰੀ	February 18
੨੦ ਫ਼ਰਵਰੀ	February 20
ਅਬਿਜਲਕਣ	Neutron
੨੧ ਫ਼ਰਵਰੀ	February 21
੨੨ ਫ਼ਰਵਰੀ	February 22
੨੩ ਫ਼ਰਵਰੀ	February 23
੨੪ ਫ਼ਰਵਰੀ	February 24
25 ਫ਼ਰਵਰੀ	February 25
੨੬ ਫ਼ਰਵਰੀ	February 26
੨੭ ਫ਼ਰਵਰੀ	February 27
੨੮ ਫ਼ਰਵਰੀ	February 28
੧੧ ਦਸੰਬਰ	December 11
੨੯ ਫ਼ਰਵਰੀ	February 29
੧੨ ਦਸੰਬਰ	December 12
੧੩ ਦਸੰਬਰ	December 13
14 ਦਸੰਬਰ	December 14
੧੫ ਦਸੰਬਰ	December 15
2 ਮਾਰਚ	March 2
3 ਮਾਰਚ	March 3
5 ਮਾਰਚ	March 5
1 ਮਾਰਚ	March 1
7 ਮਾਰਚ	March 7
੮ ਮਾਰਚ	March 8
4 ਮਾਰਚ	March 4
੧੦ ਮਾਰਚ	March 10
੧੧ ਮਾਰਚ	March 11
6 ਮਾਰਚ	March 6
੧੩ ਮਾਰਚ	March 13
9 ਮਾਰਚ	March 9
੧੨ ਮਾਰਚ	March 12
੧੫ ਮਾਰਚ	March 15
੧੪ ਮਾਰਚ	March 14
ਸੀ++	C++
ਲੂਣ ਦਾ ਤਿਜ਼ਾਬ	Hydrochloric acid
੧੬ ਦਸੰਬਰ	December 16
੧੭ ਦਸੰਬਰ	December 17
16 ਮਾਰਚ	March 16
੧੭ ਮਾਰਚ	March 17
੧੮ ਮਾਰਚ	March 18
੧੯ ਮਾਰਚ	March 19
1989	1989
1988	1988
੨੦ ਮਾਰਚ	March 20
੧੯੮੭	1987
੧੯੮੬	1986
੧੯੮੫	1985
1984	1984
੨੧ ਮਾਰਚ	March 21
੧੯੮੩	1983
੨੨ ਮਾਰਚ	March 22
1982	1982
੧੯੮੧	1981
੧੮ ਦਸੰਬਰ	December 18
੧੯੮੦	1980
੨੩ ਮਾਰਚ	March 23
ਮਕਦੀਸ਼ੂ	Mogadishu
19 ਦਸੰਬਰ	December 19
੨੪ ਮਾਰਚ	March 24
੨੫ ਮਾਰਚ	March 25
੨੦ ਦਸੰਬਰ	December 20
੨੬ ਮਾਰਚ	March 26
੨੭ ਮਾਰਚ	March 27
੨੮ ਮਾਰਚ	March 28
੨੯ ਮਾਰਚ	March 29
੩੦ ਮਾਰਚ	March 30
੩੧ ਮਾਰਚ	March 31
ਨਸਾਊ	Nassau, Bahamas
ਸਨਾ	Sana'a
੧੯੭੦	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
੧੯੭੭	1977
੧੯੭੮	1978
੧੯੭੯	1979
੧੯੬੯	1969
ਤੀਹ-ਸਾਲਾ ਜੰਗ	Thirty Years' War
ਸਰਪਿਲ ਆਕਾਸ਼ਗੰਗਾ	Spiral galaxy
15 ਅਪਰੈਲ	April 15
੧੩ ਅਪ੍ਰੈਲ	April 13
12 ਅਪ੍ਰੈਲ	April 12
14 ਅਪ੍ਰੈਲ	April 14
11 ਅਪ੍ਰੈਲ	April 11
੧੦ ਅਪ੍ਰੈਲ	April 10
੮ ਅਪਰੈਲ	April 8
9 ਅਪ੍ਰੈਲ	April 9
੭ ਅਪ੍ਰੈਲ	April 7
੬ ਅਪ੍ਰੈਲ	April 6
੫ ਅਪ੍ਰੈਲ	April 5
4 ਅਪ੍ਰੈਲ	April 4
੩ ਅਪ੍ਰੈਲ	April 3
1 ਅਪ੍ਰੈਲ	April 1
੨ ਅਪ੍ਰੈਲ	April 2
16 ਅਪ੍ਰੈਲ	April 16
17 ਅਪ੍ਰੈਲ	April 17
18 ਅਪ੍ਰੈਲ	April 18
19 ਅਪ੍ਰੈਲ	April 19
20 ਅਪ੍ਰੈਲ	April 20
੨੧ ਅਪ੍ਰੈਲ	April 21
੨੨ ਅਪ੍ਰੈਲ	April 22
੨੩ ਅਪ੍ਰੈਲ	April 23
੨੪ ਅਪ੍ਰੈਲ	April 24
25 ਅਪ੍ਰੈਲ	April 25
੨੬ ਅਪ੍ਰੈਲ	April 26
੨੭ ਅਪ੍ਰੈਲ	April 27
28 ਅਪ੍ਰੈਲ	April 28
29 ਅਪਰੈਲ	April 29
੩੦ ਅਪ੍ਰੈਲ	April 30
ਕੁਦਰਤੀ ਉਪਗ੍ਰਹਿ	Natural satellite
1 ਮਈ	May 1
੨ ਮਈ	May 2
3 ਮਈ	May 3
4 ਮਈ	May 4
5 ਮਈ	May 5
6 ਮਈ	May 6
੭ ਮਈ	May 7
੮ ਮਈ	May 8
9 ਮਈ	May 9
10 ਮਈ	May 10
11 ਮਈ	May 11
12 ਮਈ	May 12
੧੩ ਮਈ	May 13
14 ਮਈ	May 14
੧੫ ਮਈ	May 15
੧੬ ਮਈ	May 16
੧੭ ਮਈ	May 17
੧੮ ਮਈ	May 18
੧੯ ਮਈ	May 19
੨੦ ਮਈ	May 20
੨੧ ਮਈ	May 21
੨੨ ਮਈ	May 22
੨੩ ਮਈ	May 23
੨੪ ਮਈ	May 24
25 ਮਈ	May 25
26 ਮਈ	May 26
੨੭ ਮਈ	May 27
28 ਮਈ	May 28
੨੯ ਮਈ	May 29
੩੦ ਮਈ	May 30
31 ਮਈ	May 31
੨੧ ਦਸੰਬਰ	December 21
ਐੱਸ. ਐੱਸ. ਲੇਜ਼ੀਓ	S.S. Lazio
੧੪ ਜੂਨ	June 14
੧੫ ਜੂਨ	June 15
13 ਜੂਨ	June 13
੧੦ ਜੂਨ	June 10
7 ਜੂਨ	June 7
11 ਜੂਨ	June 11
9 ਜੂਨ	June 9
12 ਜੂਨ	June 12
੬ ਜੂਨ	June 6
8 ਜੂਨ	June 8
੫ ਜੂਨ	June 5
੩ ਜੂਨ	June 3
2 ਜੂਨ	June 2
1 ਜੂਨ	June 1
4 ਜੂਨ	June 4
੨੨ ਦਸੰਬਰ	December 22
ਐੱਸ. ਐੱਸ. ਸੀ. ਨਪੋਲੀ	S.S.C. Napoli
1968	1968
੧੯੬੭	1967
੧੯੬੬	1966
1965	1965
੧੯੬੪	1964
੧੬ ਜੂਨ	June 16
ਪਾਲੇਰਮੋ	Palermo
30 ਜੂਨ	June 30
੨੯ ਜੂਨ	June 29
28 ਜੂਨ	June 28
੨੬ ਜੂਨ	June 26
੨੫ ਜੂਨ	June 25
੨੨ ਜੂਨ	June 22
੨੭ ਜੂਨ	June 27
24 ਜੂਨ	June 24
੨੦ ਜੂਨ	June 20
੨੩ ਜੂਨ	June 23
੧੯ ਜੂਨ	June 19
੧੮ ਜੂਨ	June 18
੨੧ ਜੂਨ	June 21
੧੭ ਜੂਨ	June 17
੨੩ ਦਸੰਬਰ	December 23
15 ਜੁਲਾਈ	July 15
13 ਜੁਲਾਈ	July 13
੧੨ ਜੁਲਾਈ	July 12
10 ਜੁਲਾਈ	July 10
੯ ਜੁਲਾਈ	July 9
੧੪ ਜੁਲਾਈ	July 14
੮ ਜੁਲਾਈ	July 8
ਪਰਮਾ ਫੁੱਟਬਾਲ ਕਲੱਬ	Parma F.C.
7 ਜੁਲਾਈ	July 7
੬ ਜੁਲਾਈ	July 6
੫ ਜੁਲਾਈ	July 5
