Aafrika	Africa
Delhi	Delhi
Dhaka	Dhaka
Bangalore	Bangalore
Lääne-Bengali osariik	West Bengal
Ämblikulised	Spider
Ämblikulaadsed	Arachnid
Lõugtundlased	Chelicerata
Lülijalgsed	Arthropod
Hyderabad	Hyderabad
Islamabad	Islamabad
Tripura	Tripura
Vili	Fruit
Raha	Money
Virginia	Virginia
Lääne-Virginia	West Virginia
Matterhorn	Matterhorn
Dungeons & Dragons	Dungeons & Dragons
Harilik paprika	Capsicum annuum
Piran	Piran
Huroni järv	Lake Huron
New Yorgi osariik	New York
Tseerium	Cerium
Praseodüüm	Praseodymium
Rhode Island	Rhode Island
Neodüüm	Neodymium
Putukad	Insect
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Vladimir Lenin
Euroopium	Europium
Ohio	Ohio
Vergilius	Virgil
Niccolò Machiavelli	Niccolò Machiavelli
Pennsylvania	Pennsylvania
Francesco Petrarca	Petrarch
Giovanni Boccaccio	Giovanni Boccaccio
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Augustus	Augustus
Microsoft Windows	Microsoft Windows
Tiberius	Tiberius
New Jersey osariik	New Jersey
Caligula	Caligula
Gibraltar	Gibraltar
Claudius	Claudius
Soome keel	Finnish language
Nero	Nero
Galba	Galba
Indiana	Indiana
Otho	Otho
Vitellius	Vitellius
Nokia (ettevõte)	Nokia
Vespasianus	Vespasian
Auto	Car
Titus	Titus
Torino Juventus	Juventus F.C.
Domitianus	Domitian
Nerva	Nerva
Traianus	Trajan
Roger Federer	Roger Federer
Hadrianus	Hadrian
Georgia	Georgia (U.S. state)
Antoninus Pius	Antoninus Pius
Marcus Aurelius	Marcus Aurelius
KDE	KDE
Lucius Verus	Lucius Verus
Commodus	Commodus
Zagreb	Zagreb
Pertinax	Pertinax
Rajasthan	Rajasthan
Campania	Campania
Texas	Texas
Didius Julianus	Didius Julianus
Septimius Severus	Septimius Severus
Molise	Molise
Tamil Nadu	Tamil Nadu
Caracalla	Caracalla
Apuulia	Apulia
Genova	Genoa
Bruno Mars	Bruno Mars
Pinatubo	Mount Pinatubo
Basilicata	Basilicata
Põhja-Carolina	North Carolina
Maahoki	Field hockey
Lõuna-Carolina	South Carolina
UC Sampdoria	U.C. Sampdoria
Calabria	Calabria
Sitsiilia maakond	Sicily
Manila	Manila
Sardiinia	Sardinia
Ferdinand Marcos	Ferdinand Marcos
Noynoy Aquino	Benigno Aquino III
Loire	Loire
Maurits Cornelis Escher	M. C. Escher
Seine	Seine
Crohni tõbi	Crohn's disease
Davao	Davao City
Quezon City	Quezon City
Le Mans	Le Mans
Bordeaux	Bordeaux
Corazon Aquino	Corazon Aquino
Mayon	Mayon Volcano
Süsteemne erütematoosne luupus	Systemic lupus erythematosus
Buenos Aires	Buenos Aires
Häkker	Hacker (term)
México	Mexico City
Tōkyō prefektuur	Tokyo
La Paz	La Paz
Barcelona	Barcelona
Ananass	Pineapple
Mississippi osariik	Mississippi
Fernão de Magalhães	Ferdinand Magellan
Mississippi	Mississippi River
Uttar Pradesh	Uttar Pradesh
Uttarakhand	Uttarakhand
José Rizal	José Rizal
Mizoram	Mizoram
Manuel Quezón	Manuel L. Quezon
Sikkim	Sikkim
Patagoonia	Patagonia
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Robert Louis Stevenson	Robert Louis Stevenson
Janis Joplin	Janis Joplin
Abidjan	Abidjan
Abu Dhabi	Abu Dhabi
Astana	Astana
New Mexico	New Mexico
Ramses II	Ramesses II
Ateena	Athens
Ramses I	Ramesses I
Minnesota	Minnesota
Ringristmik	Traffic circle
Bagdad	Baghdad
Caracas	Caracas
UTC	Coordinated Universal Time
Wisconsin	Wisconsin
Cicero	Cicero
AC Milan	A.C. Milan
Cyndi Lauper	Cyndi Lauper
Iowa	Iowa
Nebraska	Nebraska
Guatemala (linn)	Guatemala City
Kansas	Kansas
Havanna	Havana
Tubakas (aine)	Tobacco
Hindi keel	Hindi
Marathi keel	Marathi language
Internet Explorer	Internet Explorer
Sigar	Cigar
Sigaret	Cigarette
Missouri osariik	Missouri
Georg Simon Ohm	Georg Ohm
Louisiana	Louisiana
Luigi Galvani	Luigi Galvani
Nagaland	Nagaland
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Urdu keel	Urdu
Charles Lindbergh	Charles Lindbergh
Hamburg-Mitte	Hamburg-Mitte
Hamburg-Nord	Hamburg-Nord
Altona	Altona, Hamburg
Édith Piaf	Édith Piaf
Eimsbüttel	Eimsbüttel
Wandsbek	Wandsbek
Harburg	Harburg, Hamburg
Bergedorf	Bergedorf
Osijek	Osijek
Elbe	Elbe
Françoise Sagan	Françoise Sagan
Rijeka	Rijeka
Ems	Ems (river)
Oklahoma	Oklahoma
Weser	Weser
Yohan Blake	Yohan Blake
Justin Gatlin	Justin Gatlin
Doonau	Danube
Kirani James	Kirani James
David Lekuta Rudisha	David Rudisha
Nijel Amos	Nijel Amos
Värss	Verse (poetry)
Split	Split, Croatia
Ruhr	Ruhr (river)
Jacques Brel	Jacques Brel
Moseli jõgi	Moselle
Main	Main (river)
Neckar	Neckar
Aare jõgi	Aare
Ezekiel Kemboi	Ezekiel Kemboi
Saale	Saale
Havel	Havel
Spree	Spree
Félix Sánchez	Félix Sánchez
Põhjameri	North Sea
Skagerrak	Skagerrak
Moskva oblast	Moscow Oblast
Nesta Carter	Nesta Carter
Stephen Kiprotich	Stephen Kiprotich
Abel Kirui	Abel Kirui
Kiel	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hannover	Hanover
Sergei Kirdjapkin	Sergey Kirdyapkin
Düsseldorf	Düsseldorf
Mainz	Mainz
Wiesbaden	Wiesbaden
Dubrovnik	Dubrovnik
Saarbrücken	Saarbrücken
München	Munich
Samara oblast	Samara Oblast
Erfurt	Erfurt
Dresden	Dresden
Ivan Uhhov	Ivan Ukhov
Magdeburg	Magdeburg
Võrkpall	Volleyball
Innsbruck	Innsbruck
Bregenz	Bregenz
Mu‘taz ‘Īsá Barshim	Mutaz Essa Barshim
Viin	Vienna
Renaud Lavillenie	Renaud Lavillenie
Björn Otto	Björn Otto
Madonna (laulja)	Madonna (entertainer)
Kopenhaagen	Copenhagen
Kaliningradi oblast	Kaliningrad Oblast
Macrinus	Macrinus
Stockholm	Stockholm
Helsingi	Helsinki
David Storl	David Storl
Murmanski oblast	Murmansk Oblast
Reese Hoffa	Reese Hoffa
Dublin	Dublin
Elagabalus	Elagabalus
Murmansk	Murmansk
Reykjavík	Reykjavík
Robert Harting	Robert Harting
Ella Fitzgerald	Ella Fitzgerald
Severus Alexander	Alexander Severus
Tallinn	Tallinn
Eḩsān Ḩadādī	Ehsan Haddadi
Epitaaf	Epitaph
Riia	Riga
Sansibar	Zanzibar
Gerd Kanter	Gerd Kanter
Maximinus Thrax	Maximinus Thrax
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Gordianus I	Gordian I
Kōji Murofushi	Koji Murofushi
Charles Aznavour	Charles Aznavour
Gdańsk	Gdańsk
Trey Hardee	Trey Hardee
Frankfurt	Frankfurt
Pupienus	Pupienus
Wrocław	Wrocław
Cochin	Kochi
Lantaan	Lanthanum
Gordianus II	Gordian II
Balbinus	Balbinus
Promeetium	Promethium
Astronoomiline ühik	Astronomical unit
Gordianus III	Gordian III
Philippus Araablane	Philip the Arab
Samaarium	Samarium
Aceh	Aceh
Kárášjohka vald	Karasjok
Kaliningrad	Kaliningrad
Decius	Decius
Gadoliinium	Gadolinium
Death Note	Death Note
Zinédine Zidane	Zinedine Zidane
Terbium	Terbium
Katoliiklus	Catholicism
Luxembourg	Luxembourg (city)
Düsproosium	Dysprosium
Vaduz	Vaduz
Piibel	Bible
Holmium	Holmium
San Marino (linn)	City of San Marino
Erbium	Erbium
Phnom Penh	Phnom Penh
Arhangelsk	Arkhangelsk
Tuulium	Thulium
Hồ Chí Minh (linn)	Ho Chi Minh City
Üterbium	Ytterbium
Luteetsium	Lutetium
Hanoi	Hanoi
Tõeline Jeesuse Kirik	True Jesus Church
Inglise keel	English language
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Taipei	Taipei
Ameriitsium	Americium
Odessa	Odessa
Arhangelski oblast	Arkhangelsk Oblast
Kuurium	Curium
Đồng Hới	Đồng Hới
Concepción	Concepción, Chile
Fyresdali vald	Fyresdal
Berkeelium	Berkelium
Düren	Düren
Atalanta BC	Atalanta B.C.
Kalifornium	Californium
Diplomaatia	Diplomacy
Bologna	Bologna
Einsteinium	Einsteinium
Bologna FC 1909	Bologna F.C. 1909
Memphis Depay	Memphis Depay
Petroskoi	Petrozavodsk
Fermium	Fermium
Cagliari	Cagliari
Mendeleevium	Mendelevium
Kiiev	Kiev
Cagliari Calcio	Cagliari Calcio
Nobeelium	Nobelium
Catania	Catania
Ontario	Ontario
Lavrentsium	Lawrencium
Yohan Cabaye	Yohan Cabaye
Olivier Giroud	Olivier Giroud
Karim Benzema	Karim Benzema
Florent Malouda	Florent Malouda
Karjala Vabariik	Republic of Karelia
Laurent Koscielny	Laurent Koscielny
Patrice Évra	Patrice Evra
Franck Ribéry	Franck Ribéry
Mathieu Valbuena	Mathieu Valbuena
Samir Nasri	Samir Nasri
Blaise Matuidi	Blaise Matuidi
Jérémy Ménez	Jérémy Ménez
Hatem Ben Arfa	Hatem Ben Arfa
Gaël Clichy	Gaël Clichy
Ottawa	Ottawa
Anja Pärson	Anja Pärson
Éric Abidal	Éric Abidal
William Gallas	William Gallas
Bacary Sagna	Bacary Sagna
Nicolas Anelka	Nicolas Anelka
Veenuse atmosfäär	Atmosphere of Venus
Sébastien Squillaci	Sébastien Squillaci
Abou Diaby	Abou Diaby
Benjamin Raich	Benjamin Raich
Juba (Lõuna-Sudaan)	Juba
Manitoba provints	Manitoba
Alberto Tomba	Alberto Tomba
Alberta	Alberta
Nova Scotia	Nova Scotia
Jerevan	Yerevan
Gustav Thöni	Gustav Thöni
Hermann Maier	Hermann Maier
Vologda	Vologda
Vreni Schneider	Vreni Schneider
Końskowola	Końskowola
Dar es Salaam	Dar es Salaam
Erika Hess	Erika Hess
Hartum	Khartoum
New Brunswick	New Brunswick
Vormel 1	Formula One
Briti Columbia	British Columbia
Prints Edwardi saar	Prince Edward Island
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewani provints	Saskatchewan
2012	2012
Masashi Kishimoto	Masashi Kishimoto
2011	2011
2010	2010
2009	2009
Süsihappegaas	Carbon dioxide
2013	2013
2014	2014
2015	2015
Newfoundland ja Labrador	Newfoundland and Labrador
2008	2008
JavaScript	JavaScript
Loodealad	Northwest Territories
Yukon	Yukon
2004	2004
Vologda oblast	Vologda Oblast
Wikitravel	Wikitravel
Calcio Catania	Calcio Catania
2005	2005
2006	2006
Nunavut	Nunavut
2007	2007
Vingugaas	Carbon monoxide
Linux Mint	Linux Mint
Verona	Verona
Iqaluit	Iqaluit
Marc Girardelli	Marc Girardelli
1900	1900
1901	1901
Verona Chievo	A.C. Chievo Verona
François Mitterrand	François Mitterrand
Titus Livius	Livy
Giuseppe Farina	Giuseppe Farina
Charles de Gaulle	Charles de Gaulle
1902	1902
Firenze	Florence
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
ACF Fiorentina	ACF Fiorentina
HTML5	HTML5
Seneca	Seneca the Younger
1908	1908
1909	1909
Whitehorse	Whitehorse, Yukon
1992	1992
Yellowknife	Yellowknife
1991	1991
JSON	JSON
1990	1990
1993	1993
Essen	Essen
1994	1994
1995	1995
Juan Manuel Fangio	Juan Manuel Fangio
1996	1996
David Lynch	David Lynch
Marcel Hirscher	Marcel Hirscher
Komi	Komi Republic
Genoa CFC	Genoa C.F.C.
1910	1910
1911	1911
1912	1912
SVG	Scalable Vector Graphics
Leipzig	Leipzig
1913	1913
Saint John's (Kanada)	St. John's, Newfoundland and Labrador
1914	1914
1915	1915
Twin Peaks	Twin Peaks
Alberto Ascari	Alberto Ascari
1916	1916
1997	1997
1998	1998
Nürnberg	Nuremberg
1999	1999
1917	1917
Dokumendi objektimudel	Document Object Model
1918	1918
Toit	Food
Edmonton	Edmonton
Kjetil André Aamodt	Kjetil André Aamodt
Martialis	Martial
Punalehik	Entoloma
Duisburg	Duisburg
Elementaarlaeng	Elementary charge
Maolised	Snake
Bochum	Bochum
Jacques Chirac	Jacques Chirac
Wuppertal	Wuppertal
Arica y Parinacota	Arica y Parinacota Region
Valguse kiirus	Speed of light
Bielefeld	Bielefeld
Tarapacá piirkond	Tarapacá Region
XML	XML
Antofagasta piirkond	Antofagasta Region
Mannheim	Mannheim
Oraalseks	Oral sex
Regina	Regina, Saskatchewan
Valéry Giscard d'Estaing	Valéry Giscard d'Estaing
Neutriinod	Neutrino
NSV Liidu Ministrite Nõukogu	Council of Ministers of the Soviet Union
Bode Miller	Bode Miller
Victoria (Briti Columbia)	Victoria, British Columbia
LOL	LOL
Winnipeg	Winnipeg
NSV Liidu Rahvakomissaride Nõukogu	Council of People's Commissars
Totma	Totma
Halifax	Halifax, Nova Scotia
Sõktõvkar	Syktyvkar
Tšerepovets	Cherepovets
Québec (linn)	Quebec City
1. jaanuar	January 1
2. jaanuar	January 2
Uraani kaaslased	Moons of Uranus
1920	1920
3. jaanuar	January 3
1919	1919
Tacitus	Tacitus
1921	1921
Neenetsimaa	Nenets Autonomous Okrug
1922	1922
Lund	Lund
4. jaanuar	January 4
1923	1923
Bío-Bío piirkond	Bío Bío Region
Lance Armstrong	Lance Armstrong
1924	1924
Narjan-Mar	Naryan-Mar
Asteroidide vöö	Asteroid belt
QRpedia	QRpedia
Vene NFSV	Russian Soviet Federative Socialist Republic
Georges Pompidou	Georges Pompidou
Gyldendal	Gyldendal
Leningradi oblast	Leningrad Oblast
Kääbusplaneet	Dwarf planet
Kick-Ass (film)	Kick-Ass (film)
5. jaanuar	January 5
Arica	Arica
Malmö	Malmö
Pihkva	Pskov
Pihkva oblast	Pskov Oblast
Sõzran	Syzran
6. jaanuar	January 6
Elektron	Electron
7. jaanuar	January 7
Nissedali vald	Nissedal
Kviteseidi vald	Kviteseid
8. jaanuar	January 8
Veliki Novgorod	Veliky Novgorod
Seljordi vald	Seljord
9. jaanuar	January 9
Novgorodi oblast	Novgorod Oblast
Tokke vald	Tokke
10. jaanuar	January 10
Vinje vald	Vinje
Nižni Novgorodi oblast	Nizhny Novgorod Oblast
11. jaanuar	January 11
12. jaanuar	January 12
Liardi jõgi	Liard River
Telemargi kanal	Telemark Canal
Columbia jõgi	Columbia River
Buzz Aldrin	Buzz Aldrin
Telemark	Telemark
13. jaanuar	January 13
Birmingham	Birmingham
14. jaanuar	January 14
15. jaanuar	January 15
16. jaanuar	January 16
Tom Hanks	Tom Hanks
17. jaanuar	January 17
18. jaanuar	January 18
19. jaanuar	January 19
20. jaanuar	January 20
Tööstuslik pööre	Industrial Revolution
Benseen	Benzene
Skieni vald	Skien
21. jaanuar	January 21
Chet Baker	Chet Baker
22. jaanuar	January 22
23. jaanuar	January 23
Rooma keisririik	Roman Empire
24. jaanuar	January 24
25. jaanuar	January 25
Minsk	Minsk
Sauron	Sauron
26. jaanuar	January 26
Microsoft	Microsoft
27. jaanuar	January 27
28. jaanuar	January 28
29. jaanuar	January 29
30. jaanuar	January 30
Tver	Tver
31. jaanuar	January 31
Porsgrunni vald	Porsgrunn
Tveri oblast	Tver Oblast
Prooton	Proton
2. detsember	December 2
1. detsember	December 1
3. detsember	December 3
7. detsember	December 7
5. detsember	December 5
8. detsember	December 8
10. detsember	December 10
6. detsember	December 6
9. detsember	December 9
Franklini kadunud ekspeditsioon	Franklin's lost expedition
Pink Floyd	Pink Floyd
Publius Cornelius Scipio Aemilianus	Scipio Aemilianus
Siljani vald	Siljan, Norway
AvtoVAZ	AvtoVAZ
4. detsember	December 4
Airbus Group	Airbus Group
1. veebruar	February 1
2. veebruar	February 2
Naatriumkloriid	Sodium chloride
3. veebruar	February 3
Kurów	Kurów
Žiguli kõrgustik	Zhiguli Mountains
4. veebruar	February 4
5. veebruar	February 5
6. veebruar	February 6
7. veebruar	February 7
8. veebruar	February 8
9. veebruar	February 9
10. veebruar	February 10
Notoddeni vald	Notodden
Keemia	Chemistry
Led Zeppelin	Led Zeppelin
14. veebruar	February 14
13. veebruar	February 13
15. veebruar	February 15
11. veebruar	February 11
12. veebruar	February 12
Smolensk	Smolensk
Robin van Persie	Robin van Persie
19. veebruar	February 19
17. veebruar	February 17
16. veebruar	February 16
18. veebruar	February 18
20. veebruar	February 20
Analüütiline keemia	Analytical chemistry
Smolenski oblast	Smolensk Oblast
Neutron	Neutron
Asend nr 69	69 (sex position)
21. veebruar	February 21
22. veebruar	February 22
23. veebruar	February 23
Hjartdali vald	Hjartdal
24. veebruar	February 24
25. veebruar	February 25
76. kaardiväe õhudessantdiviis	76th Guards Air Assault Division
26. veebruar	February 26
27	27
27. veebruar	February 27
28. veebruar	February 28
11. detsember	December 11
29. veebruar	February 29
Tinni vald	Tinn
Drangedali vald	Drangedal
12. detsember	December 12
C Sharp	C Sharp (programming language)
Celebrity Solstice	Celebrity Solstice
Kragerø vald	Kragerø
Nome vald	Nome, Norway
Visual Basic	Visual Basic
13. detsember	December 13
Sauheradi vald	Sauherad
14. detsember	December 14
15. detsember	December 15
2. märts	March 2
3. märts	March 3
5. märts	March 5
1. märts	March 1
7. märts	March 7
8. märts	March 8
4. märts	March 4
10. märts	March 10
11. märts	March 11
6. märts	March 6
13. märts	March 13
9. märts	March 9
12. märts	March 12
15. märts	March 15
14. märts	March 14
C++	C++
Vesinikkloriidhape	Hydrochloric acid
16. detsember	December 16
17. detsember	December 17
Kristiansand	Kristiansand
16. märts	March 16
17. märts	March 17
18. märts	March 18
Jaroslavl	Yaroslavl
19. märts	March 19
1989	1989
1988	1988
20. märts	March 20
1987	1987
1986	1986
1985	1985
1984	1984
21. märts	March 21
1983	1983
22. märts	March 22
1982	1982
1981	1981
18. detsember	December 18
1980	1980
23. märts	March 23
Vesinikbromiid	Hydrogen bromide
Jaroslavli oblast	Yaroslavl Oblast
Muqdisho	Mogadishu
19. detsember	December 19
24. märts	March 24
25. märts	March 25
20. detsember	December 20
26. märts	March 26
27. märts	March 27
28. märts	March 28
29. märts	March 29
30. märts	March 30
31. märts	March 31
Allier' jõgi	Allier (river)
Nassau	Nassau, Bahamas
Andromeeda galaktika	Andromeda Galaxy
Sanaa	Sana'a
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Kolmekümneaastane sõda	Thirty Years' War
Konrad Adenauer	Konrad Adenauer
Andmete pakkimine	Data compression
Benedictus XVI	Pope Benedict XVI
Ludwig Erhard	Ludwig Erhard
15. aprill	April 15
13. aprill	April 13
12. aprill	April 12
14. aprill	April 14
11. aprill	April 11
10. aprill	April 10
8. aprill	April 8
9. aprill	April 9
7. aprill	April 7
6. aprill	April 6
5. aprill	April 5
4. aprill	April 4
3. aprill	April 3
1. aprill	April 1
2. aprill	April 2
Kurt Georg Kiesinger	Kurt Georg Kiesinger
Hubble'i kosmoseteleskoop	Hubble Space Telescope
Willy Brandt	Willy Brandt
Kick-Ass	Kick-Ass (comic book)
Helmut Schmidt	Helmut Schmidt
Helmut Kohl	Helmut Kohl
16. aprill	April 16
17. aprill	April 17
18. aprill	April 18
Dioksiinid	Dioxins and dioxin-like compounds
19. aprill	April 19
20. aprill	April 20
21. aprill	April 21
22. aprill	April 22
23. aprill	April 23
24. aprill	April 24
Gerhard Schröder	Gerhard Schröder
25. aprill	April 25
26. aprill	April 26
27. aprill	April 27
28. aprill	April 28
29. aprill	April 29
30. aprill	April 30
Planeedi kaaslane	Natural satellite
Masinõppimine	Machine learning
Christian Wulff	Christian Wulff
Horst Köhler	Horst Köhler
1. mai	May 1
2. mai	May 2
3. mai	May 3
Energija-Buran	Buran (spacecraft)
4. mai	May 4
5. mai	May 5
Johannes Rau	Johannes Rau
6. mai	May 6
7. mai	May 7
Knock Nevis	Seawise Giant
8. mai	May 8
9. mai	May 9
10. mai	May 10
11. mai	May 11
12. mai	May 12
13. mai	May 13
14. mai	May 14
15. mai	May 15
Roman Herzog	Roman Herzog
Titan	Titan (moon)
Richard von Weizsäcker	Richard von Weizsäcker
Walter Scheel	Walter Scheel
16. mai	May 16
17. mai	May 17
18. mai	May 18
19. mai	May 19
20. mai	May 20
21. mai	May 21
22. mai	May 22
23. mai	May 23
24. mai	May 24
25. mai	May 25
26. mai	May 26
27. mai	May 27
28. mai	May 28
29. mai	May 29
30. mai	May 30
31. mai	May 31
Kostroma	Kostroma
Kostroma oblast	Kostroma Oblast
Paul McCartney	Paul McCartney
Egon Krenz	Egon Krenz
21. detsember	December 21
Pius XII	Pope Pius XII
Erich Honecker	Erich Honecker
Rooma Lazio	S.S. Lazio
Willi Stoph	Willi Stoph
14. juuni	June 14
15. juuni	June 15
13. juuni	June 13
10. juuni	June 10
7. juuni	June 7
11. juuni	June 11
9. juuni	June 9
12. juuni	June 12
6. juuni	June 6
8. juuni	June 8
5. juuni	June 5
3. juuni	June 3
2. juuni	June 2
1. juuni	June 1
4. juuni	June 4
Walter Ulbricht	Walter Ulbricht
Ivanovo	Ivanovo
Ringo Starr	Ringo Starr
Napoli	Naples
22. detsember	December 22
SSC Napoli	S.S.C. Napoli
George Harrison	George Harrison
1968	1968
Huffmani kodeerimine	Huffman coding
1967	1967
1966	1966
1965	1965
1964	1964
16. juuni	June 16
Ivanovo oblast	Ivanovo Oblast
John Franklin	John Franklin
Palermo	Palermo
30. juuni	June 30
29. juuni	June 29
28. juuni	June 28
26. juuni	June 26
25. juuni	June 25
22. juuni	June 22
27. juuni	June 27
24. juuni	June 24
20. juuni	June 20
Paul von Hindenburg	Paul von Hindenburg
23. juuni	June 23
19. juuni	June 19
18. juuni	June 18
21. juuni	June 21
17. juuni	June 17
Chuck Norris	Chuck Norris
US Palermo	U.S. Città di Palermo
LZ77	LZ77 and LZ78
23. detsember	December 23
Wilhelm II	Wilhelm II, German Emperor
Homiel	Gomel
Bruce Willis	Bruce Willis
Lempel-Ziv-Welch	Lempel–Ziv–Welch
Parma	Parma
Vladimir	Vladimir
Arnold Schwarzenegger	Arnold Schwarzenegger
15. juuli	July 15
13. juuli	July 13
12. juuli	July 12
10. juuli	July 10
9. juuli	July 9
14. juuli	July 14
8. juuli	July 8
Parma FC	Parma F.C.
7. juuli	July 7
6. juuli	July 6
5. juuli	July 5
2. juuli	July 2
4. juuli	July 4
3. juuli	July 3
1. juuli	July 1
11. juuli	July 11
Vladimiri oblast	Vladimir Oblast
Pescara	Pescara
24. detsember	December 24
Bremerhaven	Bremerhaven
Watford FC	Watford F.C.
31. juuli	July 31
30. juuli	July 30
29. juuli	July 29
28. juuli	July 28
27. juuli	July 27
25. juuli	July 25
24. juuli	July 24
23. juuli	July 23
26. juuli	July 26
22. juuli	July 22
19. juuli	July 19
21. juuli	July 21
20. juuli	July 20
17. juuli	July 17
18. juuli	July 18
16. juuli	July 16
Skierniewice	Skierniewice
Jalgpall	Association football
Louis de Funès	Louis de Funès
AS Roma	A.S. Roma
Münster	Münster
Muusikal	Musical theatre
Salatoimikud	The X-Files
25. detsember	December 25
Rjazan	Ryazan
Augsburg	Augsburg
Siena	Siena
Rjazani oblast	Ryazan Oblast
Jaroslav Hašek	Jaroslav Hašek
1963	1963
AC Siena	Robur Siena S.S.D.
Lech Kaczyński	Lech Kaczyński
Mönchengladbach	Mönchengladbach
Urbino	Urbino
26. detsember	December 26
Holokaust	The Holocaust
1962	1962
Gelsenkirchen	Gelsenkirchen
IPhone	IPhone
Torino FC	Torino F.C.
Tula	Tula, Russia
Braunschweig	Braunschweig
14. august	August 14
15. august	August 15
13. august	August 13
12. august	August 12
11. august	August 11
10. august	August 10
8. august	August 8
7. august	August 7
9. august	August 9
5. august	August 5
4. august	August 4
2. august	August 2
3. august	August 3
6. august	August 6
1. august	August 1
Udine	Udine
Geronimo	Geronimo
Tula oblast	Tula Oblast
Chemnitz	Chemnitz
IPad	IPad
Udinese Calcio	Udinese Calcio
27. detsember	December 27
Brjansk	Bryansk
Krefeld	Krefeld
Madrid	Madrid
Elton John	Elton John
Brjanski oblast	Bryansk Oblast
Allveelaev	Submarine
16. august	August 16
Coca-Cola	Coca-Cola
Halle	Halle (Saale)
29. august	August 29
28. august	August 28
30. august	August 30
25. august	August 25
26. august	August 26
23. august	August 23
27. august	August 27
21. august	August 21
20. august	August 20
24. august	August 24
18. august	August 18
17. august	August 17
22. august	August 22
19. august	August 19
31. august	August 31
Michael Jackson	Michael Jackson
28. detsember	December 28
Freiburg	Freiburg im Breisgau
Afaasia	Aphasia
Kaluga	Kaluga
Oberhausen	Oberhausen
Gripp	Influenza
Bogotá	Bogotá
Kaluga oblast	Kaluga Oblast
Lübeck	Lübeck
Brasília	Brasília
Marihuaana	Cannabis (drug)
15. september	September 15
14. september	September 14
13. september	September 13
12. september	September 12
8. september	September 8
11. september	September 11
7. september	September 7
10. september	September 10
5. september	September 5
4. september	September 4
9. september	September 9
2. september	September 2
6. september	September 6
1. september	September 1
3. september	September 3
Rostock	Rostock
29. detsember	December 29
Odekolonn	Eau de Cologne
Kassel	Kassel
Alaksandr Łukašenka	Alexander Lukashenko
Lima (Peruu)	Lima
Hagen	Hagen
Peakomponentide analüüs	Principal component analysis
Tuulest viidud (film)	Gone with the Wind (film)
