આફ્રિકા	Africa
ઓક્ટોબર ૨૮	October 28
ઓક્ટોબર ૨૬	October 26
ઓક્ટોબર ૨૫	October 25
ઓક્ટોબર ૨૪	October 24
ઓક્ટોબર ૨૭	October 27
ઓક્ટોબર ૨૨	October 22
ઓક્ટોબર ૨૩	October 23
ઓક્ટોબર ૨૦	October 20
ઓક્ટોબર ૨૧	October 21
ઓક્ટોબર ૧૯	October 19
ઓક્ટોબર ૧૭	October 17
ઓક્ટોબર ૧૬	October 16
ઓક્ટોબર ૧૮	October 18
નવેમ્બર ૧૫	November 15
નવેમ્બર ૧૪	November 14
નવેમ્બર ૧૩	November 13
નવેમ્બર ૧૨	November 12
નવેમ્બર ૧૧	November 11
નવેમ્બર ૧૦	November 10
નવેમ્બર ૭	November 7
નવેમ્બર ૮	November 8
નવેમ્બર ૯	November 9
નવેમ્બર ૬	November 6
નવેમ્બર ૫	November 5
નવેમ્બર ૪	November 4
નવેમ્બર ૩	November 3
નવેમ્બર ૨	November 2
નવેમ્બર ૧	November 1
પારામારિબો	Paramaribo
નવેમ્બર ૩૦	November 30
નવેમ્બર ૨૯	November 29
નવેમ્બર ૨૮	November 28
નવેમ્બર ૨૭	November 27
નવેમ્બર ૨૬	November 26
નવેમ્બર ૨૫	November 25
નવેમ્બર ૨૩	November 23
નવેમ્બર ૨૪	November 24
નવેમ્બર ૨૧	November 21
નવેમ્બર ૨૦	November 20
નવેમ્બર ૨૨	November 22
નવેમ્બર ૧૯	November 19
નવેમ્બર ૧૮	November 18
નવેમ્બર ૧૭	November 17
નવેમ્બર ૧૬	November 16
કાઠમંડુ	Kathmandu
સીડની	Sydney
મેલબોર્ન	Melbourne
પર્થ	Perth
નાઈલ નદી	Nile
કોંગો નદી	Congo River
ધૂમકેતુ	Comet
જાકાર્તા	Jakarta
જાવા (ટાપુ)	Java
એડિડાસ	Adidas
વિકિપીડિયા:પ્રયોગસ્થળ	Wikipedia:Sandbox
વિકિપીડિયા:સ્વાગત	Wikipedia:Introduction
કમ્પ્યુટર હાર્ડવેર	Computer hardware
નકશો	Map
નવસાર	Ammonia
ડૉંગ હેકટર એરપોર્ટ	Dong Hoi Airport
શૂન્યાવકાશ	Outer space
આત્મકથા	Autobiography
ખગોળીય દૂરબીન	Telescope
માઇલી સાઇરસ	Miley Cyrus
માર્જરિન	Margarine
મધરબોર્ડ	Motherboard
USB ડ્રાઇવ	USB flash drive
પંજાબ (પાકિસ્તાન)	Punjab, Pakistan
મહાબોધિ મંદિર	Mahabodhi Temple
સહ્યાદ્રિ પર્વતમાળા	Western Ghats
ભારતની પર્વતીય રેલ્વે	Mountain Railways of India
કન્ફ્યુશિયસ	Confucius
કોર્બીન બ્લુ	Corbin Bleu
શ્રેણી:ગણિત	Category:Mathematics
ફરો દ્વિપસમૂહ	Faroe Islands
સુરત	Surat
સાયપ્રસનો રાષ્ટ્રધ્વજ	Flag of Cyprus
ઢાંચો:Country data Iran	Template:Country data Iran
બાલી	Bali
માળો (પક્ષી)	Nest
લૅરી પેજ	Larry Page
ગંગા નદી	Ganges
સેલિન ડીયોન	Celine Dion
ખંડ	Continent
એડિલેઇડ	Adelaide
પક્ષી	Bird
રાજધાની	Capital city
ઢાંચો:ઇસ્લામ	Template:Islam
ગુજરાતી ભાષા	Gujarati language
મહિનો	Month
ઢાંચો:Portal	Template:Portal
હુઆંગ ઝીયાન-ફાન	Huang Xianfan
બિલ ગેટ્સ	Bill Gates
કમ્પ્યુટર મોનિટર	Computer monitor
જ્ઞાનકોશ	Encyclopedia
મુખપૃષ્ઠ	Main Page
સિંધવ	Halite
બાસ્કેટબોલ (રમત)	Basketball
ક્રિકેટ	Cricket
યુરેશીયા	Eurasia
હિમાલય	Himalayas
કેપ ટાઉન	Cape Town
કેસ્પિયન સમુદ્ર	Caspian Sea
વિન્સેન્ટ વેન ગો	Vincent van Gogh
વૅલેન્શિયા નો પ્રદેશ	Valencian Community
મોહેં-જો-દડો	Mohenjo-daro
પેટ્રા	Petra
એવર્ટન ફૂટબોલ ક્લબ	Everton F.C.
મક્કા	Mecca
ચે ગૂવેરા	Che Guevara
નોવાક યોકોવિચ	Novak Djokovic
એરબસ એ ૩૮૦	Airbus A380
ચિચેન ઇત્ઝા	Chichen Itza
તમિલ ભાષા	Tamil language
ચા	Tea
માર્કો પોલો	Marco Polo
પોર્ટલેન્ડ, ઑરેગોન	Portland, Oregon
મૂડીવાદ	Capitalism
દેશ	Country
હિલેરી ક્લિન્ટન	Hillary Rodham Clinton
કોનકોર્ડ	Concorde
ડોનાલ્ડ ડક	Donald Duck
સ્ટ્રાસબોર્ગ (ફ્રાન્સ)	Strasbourg
ક્રોએશિયન ભાષા	Croatian language
શેતાન	Devil
રેનો	Renault
કાલિદાસ	Kālidāsa
ઉલ્કાઓ	Meteoroid
ગૌતમ બુદ્ધ	Buddhahood
જૈવ તકનીક	Biotechnology
વિશ્વ બેંક	World Bank
લોકશાહી	Democracy
વૈશ્વિકરણ	Globalization
નોબૅલ પારિતોષિક	Nobel Prize
ઇંગ્લેન્ડના એલિઝાબેથ પ્રથમ	Elizabeth I of England
રવિન્દ્રનાથ ટાગોર	Rabindranath Tagore
માર્ક ટ્વેઇન	Mark Twain
ઍલન ટ્યુરિંગ	Alan Turing
આતંકવાદ	Terrorism
નાઝીવાદ	Nazism
વાસ્કો દ ગામા	Vasco da Gama
સિંધુ	Indus River
કાન	Ear
આંખ	Eye
ગીત	Song
હાથી	Elephant
કીડી	Ant
આન્દ્રે અગાસી	Andre Agassi
રીંગણ	Eggplant
હિમવર્ષા	Snow
ડેબિયન	Debian
વિશ્વ વેપાર સંગઠન	World Trade Organization
ચાઇનીઝ ભાષા	Chinese language
કુદરત	Nature
રક્ત	Blood
કંકાલતંત્ર	Skeleton
ફેફસાં	Lung
મેઘ	Rain
વૈશ્વિક ઉષ્ણતા	Global warming
ધરતીકંપ	Earthquake
સત્ય	Truth
કોમ્પ્યુટર માઉસ	Mouse (computing)
નેલ્સન મંડેલા	Nelson Mandela
માર્ટિન લ્યૂથર કિંગ	Martin Luther King Jr.
અવતરણ ચિહ્ન	Quotation mark
કુદરતી આફતો	Natural disaster
પૂર	Flood
સુનામી	Tsunami
જ્વાળામુખી	Volcano
વાદળ	Cloud
ત્રિકોણમિતિ	Trigonometry
ભૂમિતિ	Geometry
તેલુગુ ભાષા	Telugu language
ગ્રીક મૂળાક્ષરો	Greek alphabet
શ્રેણી:ફ્રાન્સ	Category:France
શ્રેણી:સંગીત	Category:Music
શ્રેણી:સાહિત્ય	Category:Literature
નવલકથા	Novel
મહાભારત	Mahabharata
પોપટ	Parakeet
હેરી પોટર	Harry Potter
મશક વાજું	Bagpipes
પીડોફિલિયા (બાળ યૌનશોષણ)	Pedophilia
સિકંદર	Alexander the Great
સંસ્કૃતિ	Civilization
પુરુષ	Man
લગ્ન	Marriage
ફાંસીની સજા	Capital punishment
ગુલામી પ્રથા	Slavery
દૂધ	Milk
પર્વત	Mountain
અશોક	Ashoka
અકબર	Akbar
હોંગકોંગ	Hong Kong
કરાચી	Karachi
લાગોસ	Lagos
આર્કિમીડીઝ	Archimedes
થૉમસ ઍડિસન	Thomas Edison
યુક્લિડ	Euclid
ડોમેન નામ પ્રણાલી	Domain Name System
સંકેતલિપિ	Cryptography
ઈન્ટરનેટ પ્રોટોકોલ	Internet Protocol
પ્રસારણ નિયંત્રણ પ્રોટોકોલ	Transmission Control Protocol
યુનિકોડ	Unicode
સત્યજીત રે	Satyajit Ray
નક્ષત્ર	Constellation
નૉર્વેજિયન ભાષા	Norwegian language
ચાણક્ય	Chanakya
બાગમતી પ્રાંત (નેપાળ)	Bagmati Zone
નોઆમ ચોમ્સ્કી	Noam Chomsky
ભેરી પ્રાંત (નેપાળ)	Bheri Zone
મુસા	Moses
ધવલાગિરી પ્રાંત (નેપાળ)	Dhawalagiri Zone
હિંદુ ધર્મ	Hinduism
અણુ	Atom
પ્રકાશ	Light
ગંડકી પ્રાંત (નેપાળ)	Gandaki Zone
તાજ મહેલ	Taj Mahal
જનકપુર પ્રાંત (નેપાળ)	Janakpur Zone
ઇ-મેઇલ	Email
કર્ણાલી પ્રાંત (નેપાળ)	Karnali Zone
ફારસી ભાષા	Persian language
કોશી પ્રાંત (નેપાળ)	Kosi Zone
લુમ્બિની પ્રાંત (નેપાળ)	Lumbini Zone
મહાકાલી પ્રાંત (નેપાળ)	Mahakali Zone
મેચી પ્રાંત (નેપાળ)	Mechi Zone
ઇબ્રાહિમ	Abraham
નારાયણી પ્રાંત (નેપાળ)	Narayani Zone
રાપ્તી પ્રાંત (નેપાળ)	Rapti Zone
સગરમાથા પ્રાંત (નેપાળ)	Sagarmatha Zone
સેતી પ્રાંત (નેપાળ)	Seti Zone
યુનાઇટેડ સ્ટેટ્સ આર્મી	United States Army
લુમ્બિની	Lumbini
જૈન ધર્મ	Jainism
યહૂદી ધર્મ	Judaism
લાઓત્સે	Laozi
જીમેઇલ	Gmail
યોગ	Yoga
સિમા કીઆન	Sima Qian
નવકાર મંત્ર	Namokar Mantra
મનોવિજ્ઞાન	Psychology
મહાવીર સ્વામી	Mahavira
ટિમ્બક્ટુ	Timbuktu
ઋષભ દેવ	Rishabha
દિગંબર	Digambara
લોથલ	Lothal
વલ્લભભાઈ પટેલ	Vallabhbhai Patel
મુહમ્મદ	Muhammad
ખેડબ્રહ્મા	Khedbrahma
ધોળાવીરા	Dholavira
આઇપોડ	IPod
સચિન તેંડુલકર	Sachin Tendulkar
અબ્દુલ કલામ	A. P. J. Abdul Kalam
બીબીસી	BBC
શાહરૂખ ખાન	Shah Rukh Khan
સલમાન ખાન	Salman Khan
કૅટરિના કૈફ	Katrina Kaif
આમિર ખાન	Aamir Khan
અમિતાભ બચ્ચન	Amitabh Bachchan
હરિવંશરાય બચ્ચન	Harivansh Rai Bachchan
કન્ફયુસીયસ ધર્મ	Confucianism
તાઓ ધર્મ	Taoism
જરથોસ્તી ધર્મ	Zoroastrianism
બંગાળી ભાષા	Bengali language
જીભ	Tongue
ચેલ્સી ફૂટબોલ ક્લબ	Chelsea F.C.
આર્સેનલ ફૂટબોલ ક્લબ	Arsenal F.C.
સ્વાદુપિંડ	Pancreas
ફૉકલેન્ડ ટાપુઓ	Falkland Islands
બ્લૂઝ	Blues
ઇરોડ	Erode
પ્રાથમિક શાળા	Primary school
સેલમ	Salem, Tamil Nadu
યેરકાડ	Yercaud
કોઇમ્બતુર	Coimbatore
ઊટકામંડ	Udhagamandalam
મૈસૂર	Mysore
હિંદુ	Hindu
નીલગિરિ	Nilgiri mountains
રફેલ નડાલ	Rafael Nadal
રાહુલ ગાંધી	Rahul Gandhi
ભારતીય રાષ્ટ્રીય કોંગ્રેસ	Indian National Congress
ભારતીય જનતા પાર્ટી	Bharatiya Janata Party
દિવાળી	Diwali
મકર સંક્રાંતિ	Makar Sankranti
દરિયાઈ બોગદું (ઇંગ્લેન્ડ-ફ્રાન્સ)	Channel Tunnel
હોળી	Holi
પાયથાગોરસ	Pythagoras
નવરાત્રી	Navratri
દશેરા	Vijayadashami
કુંભ મેળો	Kumbh Mela
કોલોસીયમ	Colosseum
સપ્તર્ષિ	Big Dipper
ડેવિડ બેકહામ	David Beckham
આવર્ત કોષ્ટક	Periodic table
કબૂતર	Columbidae
અંધાપો	Blindness
ચીઝ	Cheese
દ્રાક્ષ	Grape
ટાઇગર વુડ્સ	Tiger Woods
બટાકાં	Potato
શાકભાજી	Vegetable
સ્નૂકર	Snooker
ઇજનેરી	Engineering
પ્રત્યાયન	Communication
સંસ્કૃત ભાષા	Sanskrit
રુધિરાભિસરણ તંત્ર	Circulatory system
IPv4	IPv4
IP એડ્રેસ	IP address
પ્રશ્નચિહ્ન	Question mark
વર્લ્ડ ટ્રેડ સેન્ટર	World Trade Center
ફ્રિડમ ટાવર	One World Trade Center
મીઠું	Salt
ફિડલ કાસ્ટ્રો	Fidel Castro
મેનહટન	Manhattan
તત્વ	Chemical element
આર્યભટ્ટ	Aryabhata
શિવ	Shiva
વિષ્ણુ	Vishnu
લોકલ એરિયા નેટવર્ક	Local area network
વાઈડ એરિયા નેટવર્ક	Wide area network
વિદ્યુત-ચુંબકીય તરંગો	Electromagnetic radiation
બ્રહ્મા	Brahma
બળ	Force
ચુંબકીયક્ષેત્ર	Magnetic field
ગુરુત્વાકર્ષણ	Gravity
માર્શલ આર્ટસ	Martial arts
જુડો	Judo
દળ	Mass
ધાતુ	Metal
વાયુ	Gas
પ્રવાહી	Liquid
ઘન	Solid
કૃષિ	Agriculture
કપાસ	Cotton
કપડાં	Clothing
તાપમાન	Temperature
ધાતુશાસ્ત્ર	Metallurgy
કાગળ	Paper
ક્ષેત્રફળ	Area
દેનપસાર	Denpasar
સેકન્ડ	Second
મકાઈ	Maize
માટીકામ	Pottery
સ્ટેફી ગ્રાફ	Steffi Graf
હવામાન	Weather
લાહોર	Lahore
મેસોપોટેમીયા	Mesopotamia
પ્રાચીન ઇજિપ્ત	Ancient Egypt
ગુપ્ત સામ્રાજ્ય	Gupta Empire
સ્લીપિંગ બ્યૂટી	Sleeping Beauty
સિન્ડ્રેલા	Cinderella
રાજકોટ	Rajkot
જુનાગઢ	Junagadh
વડોદરા	Vadodara
ગાંધીનગર	Gandhinagar
મિકી માઉસ	Mickey Mouse
પ્રકાશસંશ્લેષણ	Photosynthesis
કર્કરોગ (કેન્સર)	Cancer
ઘઉં	Wheat
બધિરતા	Hearing loss
ગ્રેગોરીયન પંચાંગ	Gregorian calendar
નિકોટિન	Nicotine
હૃદયરોગનો હુમલો	Myocardial infarction
મલેરિયા	Malaria
કુપોષણ	Malnutrition
ગુપ્તરોગ	Sexually transmitted infection
એડ્સ	HIV/AIDS
ક્ષય રોગ	Tuberculosis
મધુપ્રમેહ	Diabetes mellitus
ઢાંચો:Location map India	Template:Location map India
જાન્યુઆરી ૦	January 0
બુર્જ દુબઈ	Burj Khalifa
ચીનની મહાન દિવાલ	Great Wall of China
પિરામિડ	Pyramid
ફેશન	Fashion
તલવાર	Sword
પેલે	Pelé
જયોર્જ સોરોસ	George Soros
વિનોબા ભાવે	Vinoba Bhave
સ્ટ્રોબેરી	Strawberry
વર્ડપ્રેસ	WordPress
લીચી (ફળ)	Lychee
નારિયેળ	Coconut
દાડમ	Pomegranate
સંતરુ (ફળ)	Orange (fruit)
રાજસ્થાની ભાષા	Rajasthani language
તેઝુ	Tezu
આઇસ્ક્રીમ	Ice cream
ઢાંચો:Location map Canada	Template:Location map Canada
સીદી	Siddi
નિરોધ	Condom
ડોલર	Dollar
વડાપ્રધાન	Prime minister
માછીમારી	Fishing
થોર	Cactus
ગરમ મસાલો	Garam masala
ઘર ચકલી	House sparrow
