Aprika	Africa
Republika ng Komi	Komi Republic
1910	1910
1911	1911
1912	1912
1913	1913
Roseto degli Abruzzi	Roseto degli Abruzzi
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
Nuremberg	Nuremberg
1999	1999
1917	1917
1918	1918
Pagkain	Food
Edmonton	Edmonton
Ahas	Snake
Jacques Chirac	Jacques Chirac
Bilis ng liwanag	Speed of light
Pakikipagtalik sa pamamagitan ng bibig	Oral sex
Regina, Saskatchewan	Regina, Saskatchewan
Victoria, British Columbia	Victoria, British Columbia
Winnipeg	Winnipeg
Totma	Totma
Halifax, Nova Scotia	Halifax, Nova Scotia
Syktyvkar	Syktyvkar
Cherepovets	Cherepovets
Lungsod ng Québec	Quebec City
Enero 1	January 1
Enero 2	January 2
1920	1920
Enero 3	January 3
1919	1919
Valencia, Bukidnon	Valencia, Bukidnon
1921	1921
Nenets Autonomous Okrug	Nenets Autonomous Okrug
1922	1922
Enero 4	January 4
1923	1923
1924	1924
Naryan-Mar	Naryan-Mar
Riau	Riau
Malolos	Malolos
Sosyalistang Pederatibong Republikang Sobyet ng Rusya	Russian Soviet Federative Socialist Republic
Georges Pompidou	Georges Pompidou
Meycauayan	Meycauayan
Leningrad Oblast	Leningrad Oblast
San Jose del Monte	San Jose del Monte
Romulus at Remus	Romulus and Remus
Planetang unano	Dwarf planet
Tuguegarao	Tuguegarao
Enero 5	January 5
Iriga	Iriga
Naga, Camarines Sur	Naga, Camarines Sur
Roxas, Capiz	Roxas, Capiz
Pskov	Pskov
Pskov Oblast	Pskov Oblast
Syzran	Syzran
Enero 6	January 6
Lalawigan ng Kapuluan ng Riau	Riau Islands Province
Elektron	Electron
Enero 7	January 7
Enero 8	January 8
Veliky Novgorod	Veliky Novgorod
Enero 9	January 9
Novgorod Oblast	Novgorod Oblast
Enero 10	January 10
Nizhny Novgorod Oblast	Nizhny Novgorod Oblast
Enero 11	January 11
Enero 12	January 12
Buzz Aldrin	Buzz Aldrin
Scipio Africanus	Scipio Africanus
Enero 13	January 13
Birmingham	Birmingham
Enero 14	January 14
Enero 15	January 15
Enero 16	January 16
Tom Hanks	Tom Hanks
Enero 17	January 17
Enero 18	January 18
Enero 19	January 19
Enero 20	January 20
Rebolusyong Industriyal	Industrial Revolution
Enero 21	January 21
Enero 22	January 22
Enero 23	January 23
Imperyong Romano	Roman Empire
Enero 24	January 24
Enero 25	January 25
Minsk	Minsk
Enero 26	January 26
Microsoft	Microsoft
Enero 27	January 27
Enero 28	January 28
Enero 29	January 29
Enero 30	January 30
Tver	Tver
Enero 31	January 31
Tver Oblast	Tver Oblast
Proton	Proton
Disyembre 2	December 2
Disyembre 1	December 1
Disyembre 3	December 3
Disyembre 7	December 7
Disyembre 5	December 5
Disyembre 8	December 8
Disyembre 10	December 10
Disyembre 6	December 6
Disyembre 9	December 9
Pink Floyd	Pink Floyd
Disyembre 4	December 4
Pebrero 1	February 1
Pebrero 2	February 2
Sodium chloride	Sodium chloride
Pebrero 3	February 3
Kurów	Kurów
Pebrero 4	February 4
Pebrero 5	February 5
Pebrero 6	February 6
Pebrero 7	February 7
Pebrero 8	February 8
Pebrero 9	February 9
Pebrero 10	February 10
Kimika	Chemistry
Led Zepellin	Led Zeppelin
Pebrero 14	February 14
Pebrero 13	February 13
Pebrero 15	February 15
Pebrero 11	February 11
Pebrero 12	February 12
Smolensk	Smolensk
Pebrero 19	February 19
Pebrero 17	February 17
Pebrero 16	February 16
Pebrero 18	February 18
Pebrero 20	February 20
Mapanuring kimika	Analytical chemistry
Smolensk Oblast	Smolensk Oblast
Neutron	Neutron
69 (posisyong pangpagtatalik)	69 (sex position)
Pebrero 21	February 21
Pebrero 22	February 22
Pebrero 23	February 23
Pebrero 24	February 24
Pebrero 25	February 25
Pebrero 26	February 26
27	27
Pebrero 27	February 27
Pebrero 28	February 28
Disyembre 11	December 11
Pebrero 29	February 29
Disyembre 12	December 12
Disyembre 13	December 13
Disyembre 14	December 14
Disyembre 15	December 15
Marso 2	March 2
Marso 3	March 3
Marso 5	March 5
Marso 1	March 1
Marso 7	March 7
Marso 8	March 8
Marso 4	March 4
Marso 10	March 10
Marso 11	March 11
Marso 6	March 6
Marso 13	March 13
Marso 9	March 9
Marso 12	March 12
Marso 15	March 15
Marso 14	March 14
Disyembre 16	December 16
Disyembre 17	December 17
Marso 16	March 16
Marso 17	March 17
Marso 18	March 18
Yaroslavl	Yaroslavl
Marso 19	March 19
1989	1989
1988	1988
Marso 20	March 20
1987	1987
1986	1986
1985	1985
1984	1984
Marso 21	March 21
1983	1983
Marso 22	March 22
1982	1982
1981	1981
Disyembre 18	December 18
1980	1980
Marso 23	March 23
Yaroslavl Oblast	Yaroslavl Oblast
Mogadiscio	Mogadishu
Disyembre 19	December 19
Marso 24	March 24
Marso 25	March 25
Disyembre 20	December 20
Marso 26	March 26
Marso 27	March 27
Marso 28	March 28
Marso 29	March 29
Marso 30	March 30
Marso 31	March 31
Nassau	Nassau, Bahamas
Galaksiyang Andromeda	Andromeda Galaxy
Sanaa	Sana'a
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Karang ng Tarawa	Tarawa
Digmaan ng Tatlumpung Taon	Thirty Years' War
Papa Benedicto XVI	Pope Benedict XVI
Abril 15	April 15
Abril 13	April 13
Abril 12	April 12
Abril 14	April 14
Abril 11	April 11
Abril 10	April 10
Abril 8	April 8
Abril 9	April 9
Abril 7	April 7
Abril 6	April 6
Abril 5	April 5
Abril 4	April 4
Abril 3	April 3
Abril 1	April 1
Abril 2	April 2
Teleskopyong Pangkalawakang Hubble	Hubble Space Telescope
Abril 16	April 16
Abril 17	April 17
Abril 18	April 18
Abril 19	April 19
Abril 20	April 20
Abril 21	April 21
Abril 22	April 22
Abril 23	April 23
Abril 24	April 24
Gerhard Schröder	Gerhard Schröder
Abril 25	April 25
Abril 26	April 26
Abril 27	April 27
Abril 28	April 28
Abril 29	April 29
Abril 30	April 30
Likas na satelayt	Natural satellite
Joachim Gauck	Joachim Gauck
Pagkatuto ng makina	Machine learning
Christian Wulff	Christian Wulff
Horst Köhler	Horst Köhler
Mayo 1	May 1
Mayo 2	May 2
Mayo 3	May 3
Mayo 4	May 4
Mayo 5	May 5
Mayo 6	May 6
Mayo 7	May 7
Mayo 8	May 8
Mayo 9	May 9
Mayo 10	May 10
Mayo 11	May 11
Mayo 12	May 12
Mayo 13	May 13
Mayo 14	May 14
Mayo 15	May 15
Titan (buwan)	Titan (moon)
Mayo 16	May 16
Mayo 17	May 17
Mayo 18	May 18
Mayo 19	May 19
Mayo 20	May 20
Mayo 21	May 21
Mayo 22	May 22
Mayo 23	May 23
Mayo 24	May 24
Mayo 25	May 25
Mayo 26	May 26
Mayo 27	May 27
Mayo 28	May 28
Mayo 29	May 29
Mayo 30	May 30
Mayo 31	May 31
Kostroma	Kostroma
Kostroma Oblast	Kostroma Oblast
Paul McCartney	Paul McCartney
Disyembre 21	December 21
Papa Pio XII	Pope Pius XII
Hunyo 14	June 14
Hunyo 15	June 15
Hunyo 13	June 13
Hunyo 10	June 10
Hunyo 7	June 7
Hunyo 11	June 11
Hunyo 9	June 9
Hunyo 12	June 12
Hunyo 6	June 6
Hunyo 8	June 8
Hunyo 5	June 5
Hunyo 3	June 3
Hunyo 2	June 2
Hunyo 1	June 1
Hunyo 4	June 4
Ivanovo	Ivanovo
Ringo Starr	Ringo Starr
Napoli (lungsod)	Naples
Disyembre 22	December 22
10 Hygiea	10 Hygiea
George Harrison	George Harrison
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
Hunyo 16	June 16
Ivanovo Oblast	Ivanovo Oblast
Lungsod ng Palermo	Palermo
Hunyo 30	June 30
Hunyo 29	June 29
Hunyo 28	June 28
Hunyo 26	June 26
Hunyo 25	June 25
Hunyo 22	June 22
Hunyo 27	June 27
Hunyo 24	June 24
Hunyo 20	June 20
Hunyo 23	June 23
Hunyo 19	June 19
Hunyo 18	June 18
Hunyo 21	June 21
Hunyo 17	June 17
Disyembre 23	December 23
Wilhelm II, Emperador ng Alemanya	Wilhelm II, German Emperor
Bruce Willis	Bruce Willis
Vladimir	Vladimir
Arnold Schwarzenegger	Arnold Schwarzenegger
Hulyo 15	July 15
Hulyo 13	July 13
Hulyo 12	July 12
Hulyo 10	July 10
Hulyo 9	July 9
Hulyo 14	July 14
Hulyo 8	July 8
Hulyo 7	July 7
Hulyo 6	July 6
Hulyo 5	July 5
Hulyo 2	July 2
Hulyo 4	July 4
Hulyo 3	July 3
Hulyo 1	July 1
Hulyo 11	July 11
Vladimir Oblast	Vladimir Oblast
Disyembre 24	December 24
Sasha Grey	Sasha Grey
Hulyo 31	July 31
Hulyo 30	July 30
Hulyo 29	July 29
Hulyo 28	July 28
Hulyo 27	July 27
Hulyo 25	July 25
Hulyo 24	July 24
Hulyo 23	July 23
Hulyo 26	July 26
Hulyo 22	July 22
Hulyo 19	July 19
Hulyo 21	July 21
Hulyo 20	July 20
Hulyo 17	July 17
Hulyo 18	July 18
Hulyo 16	July 16
Futbol	Association football
Disyembre 25	December 25
Ryazan	Ryazan
Lungsod ng Siena	Siena
Ryazan Oblast	Ryazan Oblast
1963	1963
Urbino	Urbino
Disyembre 26	December 26
Holocaust	The Holocaust
1962	1962
IPhone	IPhone
Tula, Russia	Tula, Russia
Agosto 14	August 14
Agosto 15	August 15
Agosto 13	August 13
Agosto 12	August 12
Agosto 11	August 11
Agosto 10	August 10
Agosto 8	August 8
Agosto 7	August 7
Agosto 9	August 9
Agosto 5	August 5
Agosto 4	August 4
Agosto 2	August 2
Agosto 3	August 3
Agosto 6	August 6
Agosto 1	August 1
Geronimo	Geronimo
Tula Oblast	Tula Oblast
Magkapatid na Grimm	Brothers Grimm
Disyembre 27	December 27
Bryansk	Bryansk
Madrid	Madrid
Elton John	Elton John
Bryansk Oblast	Bryansk Oblast
Submarino	Submarine
Agosto 16	August 16
Coca-Cola	Coca-Cola
Agosto 29	August 29
Agosto 28	August 28
Agosto 30	August 30
Agosto 25	August 25
Agosto 26	August 26
Agosto 23	August 23
Agosto 27	August 27
Agosto 21	August 21
Agosto 20	August 20
Agosto 24	August 24
Agosto 18	August 18
Agosto 17	August 17
Agosto 22	August 22
Agosto 19	August 19
Agosto 31	August 31
Michael Jackson	Michael Jackson
Disyembre 28	December 28
Kaluga	Kaluga
Trangkaso	Influenza
Bogotá	Bogotá
Kaluga Oblast	Kaluga Oblast
Brasilia	Brasília
Marijuana	Cannabis (drug)
Setyembre 15	September 15
Setyembre 14	September 14
Setyembre 13	September 13
Setyembre 12	September 12
Setyembre 8	September 8
Setyembre 11	September 11
Setyembre 7	September 7
Setyembre 10	September 10
Setyembre 5	September 5
Setyembre 4	September 4
Setyembre 9	September 9
Setyembre 2	September 2
Setyembre 6	September 6
Setyembre 1	September 1
Setyembre 3	September 3
Disyembre 29	December 29
Alaksandr Łukašenka	Alexander Lukashenko
Lungsod ng Lima	Lima
Analisis ng pangunahing bahagi	Principal component analysis
Setyembre 30	September 30
Setyembre 29	September 29
Setyembre 28	September 28
Setyembre 27	September 27
Setyembre 26	September 26
Setyembre 25	September 25
Santiago, Tsile	Santiago
Setyembre 23	September 23
Setyembre 22	September 22
Setyembre 24	September 24
Setyembre 21	September 21
Setyembre 20	September 20
Setyembre 18	September 18
Setyembre 17	September 17
Sosyalistang Republikang Sobyetikang ng Belorusya	Byelorussian Soviet Socialist Republic
Setyembre 19	September 19
Setyembre 16	September 16
Quito	Quito
Disyembre 30	December 30
Sucre	Sucre
Disyembre 31	December 31
Oktubre 1	October 1
Oktubre 15	October 15
Oktubre 12	October 12
Oktubre 10	October 10
Oktubre 14	October 14
Oktubre 9	October 9
Oktubre 8	October 8
Oktubre 13	October 13
Oktubre 7	October 7
Oktubre 11	October 11
Oktubre 6	October 6
Oktubre 4	October 4
Oktubre 5	October 5
Oktubre 3	October 3
Oktubre 2	October 2
Asuncion	Asunción
Kambing	Goat
Palasyo ng Bersalyes	Palace of Versailles
Oktubre 31	October 31
Oktubre 30	October 30
Oktubre 29	October 29
Oktubre 28	October 28
Oktubre 26	October 26
Oktubre 25	October 25
Oktubre 24	October 24
Oktubre 27	October 27
Oktubre 22	October 22
Oktubre 23	October 23
Oktubre 20	October 20
Oktubre 21	October 21
Oktubre 19	October 19
Oktubre 17	October 17
Oktubre 16	October 16
Oktubre 18	October 18
Katedral	Cathedral
Kalayaan	Liberty
Nobyembre 15	November 15
Nobyembre 14	November 14
Nobyembre 13	November 13
Nobyembre 12	November 12
Nobyembre 11	November 11
Nobyembre 10	November 10
Nobyembre 7	November 7
Nobyembre 8	November 8
Nobyembre 9	November 9
Nobyembre 6	November 6
Nobyembre 5	November 5
Nobyembre 4	November 4
Nobyembre 3	November 3
Nobyembre 2	November 2
Nobyembre 1	November 1
Amy Johnson	Amy Johnson
Paramaribo	Paramaribo
2 Pallas	2 Pallas
3 Juno	3 Juno
ICarly	ICarly
Nobyembre 30	November 30
Nobyembre 29	November 29
Nobyembre 28	November 28
Nobyembre 27	November 27
Nobyembre 26	November 26
Nobyembre 25	November 25
Nobyembre 23	November 23
Nobyembre 24	November 24
Nobyembre 21	November 21
Nobyembre 20	November 20
Nobyembre 22	November 22
Nobyembre 19	November 19
Nobyembre 18	November 18
Nobyembre 17	November 17
Nobyembre 16	November 16
4 Vesta	4 Vesta
Katmandu	Kathmandu
Belmopan	Belmopan
Carlomagno	Charlemagne
San José, Costa Rica	San José, Costa Rica
San Salvador	San Salvador
Canberra	Canberra
Io (buwan)	Io (moon)
Oryol Oblast	Oryol Oblast
Sydney	Sydney
Lunti	Green
Callisto (buwan)	Callisto (moon)
Melbourne	Melbourne
Pula	Red
Europa (buwan)	Europa (moon)
Muon	Muon
Kursk	Kursk
Ganymede (buwan)	Ganymede (moon)
Kursk Oblast	Kursk Oblast
Perth, Kanlurang Australya	Perth
Apoy	Fire
Photon	Photon
Kanlurang Australya	Western Australia
New South Wales	New South Wales
Positron	Positron
Hilagang Teritoryo	Northern Territory
Tegucigalpa	Tegucigalpa
Amalthea (buwan)	Amalthea (moon)
Timawa (nobela)	Timawa
Brione (TN)	Brione, Trentino
Managua	Managua
Lardaro	Lardaro
Gluon	Gluon
Charles Martel	Charles Martel
Enceladus (buwan)	Enceladus
Lungsod ng Panama	Panama City
Titania (buwan)	Titania (moon)
Belgorod	Belgorod
Lourdes	Lourdes
Belgorod Oblast	Belgorod Oblast
George Orwell	George Orwell
Umbriel (buwan)	Umbriel (moon)
Ariel (buwan)	Ariel (moon)
Amelia Earhart	Amelia Earhart
Antiochus IV Epiphanes	Antiochus IV Epiphanes
Triton (buwan)	Triton (moon)
Aosta	Aosta
Seleucus II Callinicus	Seleucus II Callinicus
Ilog Nilo	Nile
Sirius	Sirius
Voronezh	Voronezh
Lungsod ng Perugia	Perugia
Voronezh Oblast	Voronezh Oblast
Volpara	Volpara
L’Aquila (lungsod)	L'Aquila
Lipetsk	Lipetsk
Sumatra	Sumatra
Campobasso	Campobasso
Massimeno	Massimeno
Grauno	Grauno
Ilog Congo	Congo River
Sagron Mis	Sagron Mis
Pietraferrazzana	Pietraferrazzana
Lipetsk Oblast	Lipetsk Oblast
Fallo	Fallo
Roio del Sangro	Roio del Sangro
Tambov	Tambov
Tambov Oblast	Tambov Oblast
Rabat	Rabat
Kometa	Comet
Montelapiano	Montelapiano
Arhel	Algiers
Montebello sul Sangro	Montebello sul Sangro
Monteferrante	Monteferrante
Tunis	Tunis
Rostov Oblast	Rostov Oblast
Kategorya:Image namespace templates	Category:File namespace templates
Tripoli	Tripoli
Silangang Haba	East Java
Rede Globo	Rede Globo
Mga comune ng Lalawigan ng Pavia	Canevino
Velezzo Lomellina	Velezzo Lomellina
Rocca de' Giorgi	Rocca de' Giorgi
Villa Biscossi	Villa Biscossi
Calvignano	Calvignano
Jack Angel	Jack Angel
Lungsod ng Djibouti	Djibouti (city)
Antofagasta	Antofagasta
Teherán	Tehran
Adis Abeba	Addis Ababa
Jakarta	Jakarta
Verbania	Verbania
Ankara	Ankara
Asmara	Asmara
Krasnodar	Krasnodar
NDjamena	N'Djamena
Niamey	Niamey
Krasnodar Krai	Krasnodar Krai
Nouakchott	Nouakchott
Riad	Riyadh
1961	1961
Bamako	Bamako
Talampakan (yunit)	Foot (unit)
Belgrado	Belgrade
Dakar	Dakar
Kanlurang Haba	West Java
Banjul	Banjul
Conakry	Conakry
Adygea	Adygea
Bissau	Bissau
Kategorya:Mga suleras sa Wikipedia	Category:Wikipedia templates
Monrovia	Monrovia
Praia	Praia
Maykop	Maykop
1960	1960
Java (pulo)	Java
Kategorya:Wikipedia template categories	Category:Wikipedia template categories
Accra	Accra
Damasko	Damascus
Yamoussoukro	Yamoussoukro
Ouagadougou	Ouagadougou
Freetown	Freetown
Ilog Amasona	Amazon River
Abuja	Abuja
Lomé	Lomé
Kalimantan	Kalimantan
Porto-Novo	Porto-Novo
Aman	Amman
Jaunde	Yaoundé
Kategorya:Sports templates	Category:Sports templates
Selebes	Sulawesi
Malabo	Malabo
Volgograd Oblast	Volgograd Oblast
Beirut	Beirut
Libreville	Libreville
Maskate	Muscat, Oman
Kapuluang Maluku	Maluku Islands
Bangui	Bangui
Kinshasa	Kinshasa
Brazzaville	Brazzaville
Bujumbura	Bujumbura
Nicosia	Nicosia
Kigali	Kigali
Doha	Doha
Asteroyd	Asteroid
Dodoma	Dodoma
Nairobi	Nairobi
Neurosikolohiya	Neuropsychology
Lilongwe	Lilongwe
Lusaka	Lusaka
Manama	Manama
Eklipse ng araw	Solar eclipse
Maputo	Maputo
Kampala	Kampala
Luanda	Luanda
Moroni, Komoros	Moroni, Comoros
Mbabane	Mbabane
Galicia (Espanya)	Galicia (Spain)
Maseru	Maseru
Paaralan	School
Antananarivo	Antananarivo
Pamantasan	University
Gaborone	Gaborone
Harare	Harare
Grace Kelly	Grace Kelly
Pretoria	Pretoria
Astrakhan	Astrakhan
Port Louis	Port Louis
Pingpong	Table tennis
San Tomas	São Tomé
Asturias (Espanya)	Asturias
Windhoek	Windhoek
Supernoba	Supernova
Wikipedia:Sanayan	Wikipedia:Sandbox
Victoria, Seychelles	Victoria, Seychelles
Astrakhan Oblast	Astrakhan Oblast
Lokal na pangkat	Local Group
Wikipedia:Maligayang pagdating!	Wikipedia:Introduction
Cantabria	Cantabria
Tahanan	House
Kalmykia	Kalmykia
Neubrandenburg	Neubrandenburg
Hardware (kompyuter)	Computer hardware
Alhebra	Algebra
Power supply unit (kompyuter)	Power supply unit (computer)
Elista	Elista
Jeffrey Garcia	Jeffrey Garcia
Bayang Basko	Basque Country (autonomous community)
Mapa	Map
Ramesses IX	Ramesses IX
Nafarroa	Navarre
Ilog	River
Rosearik Rikki Simons	Rosearik Rikki Simons
Ramesses X	Ramesses X
Tara Strong	Tara Strong
Duke Ellington	Duke Ellington
Osasco	Osasco
Richard Steven Horvitz	Richard Steven Horvitz
Aragón	Aragon
CeeLo Green	CeeLo Green
36 BC	36 BC
Ramesses V	Ramesses V
20 BC	20 BC
40 BC	40 BC
39 BC	39 BC
37 BC	37 BC
Eschweiler	Eschweiler
22 BC	22 BC
Amonya	Ammonia
38 BC	38 BC
Fujairah	Fujairah
Glasgow	Glasgow
28 BC	28 BC
Pion	Pion
18 BC	18 BC
15 BC	15 BC
33 BC	33 BC
Chris Rock	Chris Rock
Adam Carolla	Adam Carolla
30 BK	30 BC
12 BC	12 BC
Ligiran	Orbit
Patrice O'Neal	Patrice O'Neal
Paliparan ng Dong Hoi	Dong Hoi Airport
Kalawakan	Outer space
45 BC	45 BC
Wetzlar	Wetzlar
46 BC	46 BC
Autobiograpiya	Autobiography
41 BC	41 BC
49 BC	49 BC
42 BC	42 BC
25 BC	25 BC
47 BC	47 BC
10 BK	10 BC
Ned Beatty	Ned Beatty
Daksipat	Telescope
James Coburn	James Coburn
Kategorya:Kasaysayan ng Malaysia	Category:History of Malaysia
Miley Cyrus	Miley Cyrus
Kategorya:Kasaysayan ng Benin	Category:History of Benin
Tengen toppen Guren Laggen	Gurren Lagann
Motherboard	Motherboard
Kategorya:Kasaysayan ng Bangladesh	Category:History of Bangladesh
Kategorya:Kasaysayan ng Bhutan	Category:History of Bhutan
Rodger Bumpass	Rodger Bumpass
Kategorya:Lutuing Griyego	Category:Greek cuisine
Primorsky Krai	Primorsky Krai
Kategorya:Kasaysayan ng Arabyang Saudi	Category:History of Saudi Arabia
Kategorya:Kasaysayan ng Indonesya	Category:History of Indonesia
Barefoot Gen	Barefoot Gen
Jimmy Bennett	Jimmy Bennett
Melissa Fahn	Melissa Fahn
Kategorya:Kasaysayan ng Taiwan	Category:History of Taiwan
Kategorya:Stub (Suwesya)	Category:Sweden stubs
Curitiba	Curitiba
Kategorya:Mga lansangan ayon sa bansa	Category:Roads by country
Pangaea	Pangaea
Mr. Lawrence	Mr. Lawrence
Kanlurang Aprika	West Africa
Kategorya:Kasaysayan ng Turkiya	Category:History of Turkey
Gubat	Forest
Kategorya:Kasaysayan ng Silangang Timor	Category:History of East Timor
Kategorya:Kasaysayan ng Hapon	Category:History of Japan
Kategorya:1888	Category:1888
Zichyújfalu	Zichyújfalu
Kategorya:Blattodea	Category:Cockroaches
Clarington, Ontario	Clarington
Hard disk drive	Hard disk drive
Papa Pío VIII	Pope Pius VIII
Kategorya:Artiodactyla	Category:Even-toed ungulates
Papa Benedicto XV	Pope Benedict XV
Khabarovsk	Khabarovsk
Kategorya:Bovidae	Category:Bovidae
Jennette McCurdy	Jennette McCurdy
Panunuring pampelikula	Film criticism
Clancy Brown	Clancy Brown
Optical disc	Optical disc drive
Kategorya:Ipinanganak noong 1421	Category:1421 births
Kategorya:Squamata	Category:Squamata
Hukbong dagat	Navy
Lalawigan ng Kotayk	Kotayk Province
Victorious	Victorious
Jonathan Winters	Jonathan Winters
Kooperatiba	Cooperative
Kategorya:Lutuing Polako	Category:Polish cuisine
Kategorya:Lutuing Ukranyano	Category:Ukrainian cuisine
Kategorya:Kasaysayan ng Afghanistan	Category:History of Afghanistan
O-Zone	O-Zone
Padron:Lang-lt	Template:Lang-lt
Kategorya:Kasaysayan ng Biyetnam	Category:History of Vietnam
Kategorya:Kasaysayan ng Pakistan	Category:History of Pakistan
Kategorya:1421	Category:1421
Sean Connery	Sean Connery
Kategorya:People infobox templates	Category:People infobox templates
Aklat ni Job	Book of Job
Aklat ng mga Kawikaan	Book of Proverbs
Anne Frank	Anne Frank
Confucius	Confucius
Sarah Bernhardt	Sarah Bernhardt
Kategorya:Kasaysayan ng Irak	Category:History of Iraq
Marilyn Monroe	Marilyn Monroe
Corbin Bleu	Corbin Bleu
Karnabal	Carnival
Kategorya:Matematika	Category:Mathematics
Kategorya:Kasaysayan ng Mongolia	Category:History of Mongolia
Kapuluang Peroe	Faroe Islands
Surat	Surat
Kategorya:Kasaysayan ng India	Category:History of India
Mohamed Morsi	Mohamed Morsi
Barbra Streisand	Barbra Streisand
Kategorya:Kasaysayan ng Pilipinas	Category:History of the Philippines
Padron:Country data Iran	Template:Country data Iran
Bali, Indonesya	Bali
Hupiter (mitolohiya)	Jupiter (mythology)
Sherlock Holmes	Sherlock Holmes
107 BK	107 BC
Renasimiyento	The Renaissance
143 BC	143 BC
Dukado ng Borgonya	Duchy of Burgundy
126 BC	126 BC
116 BC	116 BC
136 BC	136 BC
113 BK	113 BC
Pugad	Nest
140 BC	140 BC
Kategorya:Gruiformes	Category:Gruiformes
150 BC	150 BC
Kategorya:Ipinanganak noong 1888	Category:1888 births
130 BC	130 BC
1488	1488
Kategorya:Kasaysayan ng Iran	Category:History of Iran
Kategorya:Kasaysayan ng Singapore	Category:History of Singapore
Jimmy Kimmel	Jimmy Kimmel
Euro	Euro
Dolyar ng Estados Unidos	United States dollar
Dagat Mediteraneo	Mediterranean Sea
Kategorya:Stub (Pinlandiya)	Category:Finland stubs
Republika ng Venezia	Republic of Venice
Kategorya:Heograpiya ng New Zealand	Category:Geography of New Zealand
Jason Lee	Jason Lee (actor)
Hangzhou	Hangzhou
Villabate	Villabate
Aliminusa	Aliminusa
Valledolmo	Valledolmo
San Cipirello	San Cipirello
Blufi	Blufi
Herman Melville	Herman Melville
Kristiyanismo	Christianity
Padron:Asya	Template:Countries of Asia
1004	1004
Garona	Garonne
Seattle, Washington	Seattle
Pader ng Berlin	Berlin Wall
Ilog Ganges	Ganges
Palay	Rice
Baltimore, Maryland	Baltimore
Nadym	Nadym
Celine Dion	Celine Dion
Kontinente	Continent
Padron:ALA	Template:ALA
Adelaide	Adelaide
Ibon	Bird
Dagestan	Dagestan
Kabisera	Capital city
Monzón	Monzón
Padron:Islam	Template:Islam
Padron:Lang-tr	Template:Lang-tr
Wikang Portuges	Portuguese language
Buwan (panahon)	Month
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Padron:Portada	Template:Portal
1948	1948
Ramesses VI	Ramesses VI
Bilateria	Bilateria
Eumetazoa	Eumetazoa
Padron:Mga rehiyon ng mundo	Template:Regions of the world
Kinorhyncha	Kinorhyncha
Priapulida	Priapulida
Nematode	Nematode
Nematomorpha	Nematomorpha
Chechnya	Chechnya
1949	1949
Pebrero 2008	February 2008
Onychophora	Onychophora
Tardigrada	Tardigrade
Grozny	Grozny
Almazán	Almazán
Stavropol	Stavropol
Stavropol Krai	Stavropol Krai
Huang Xianfan	Huang Xianfan
Pebrero 2009	February 2009
Bacolod	Bacolod
Ingushetia	Ingushetia
1956	1956
1200	1200
1201	1201
1202	1202
1203	1203
1204	1204
1205	1205
1206	1206
1941	1941
1207	1207
Hilagang Osetya-Alania	North Ossetia–Alania
1208	1208
1945	1945
1209	1209
1210	1210
1211	1211
1958	1958
1212	1212
1926	1926
1213	1213
1947	1947
Hippocrates	Hippocrates
Kabardino-Balkaria	Kabardino-Balkaria
1944	1944
1952	1952
Diyamante	Diamond
Bill Gates	Bill Gates
Lungsod ng Tarlac	Tarlac City
Wikang Hapones	Japanese language
Monitor ng kompyuter	Computer monitor
Ensiklopedya	Encyclopedia
Floppy disk	Floppy disk
DVD	DVD
